material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
"""darwin-glass""","ALAMO, NEVADA, USA IMPACTITE, Impact Melt With Spherules, 288-grams, 10.2-oz.",34.95,2026-01-03,288,0.12,WorthPoint
"""darwin-glass""","ROCK ELM, WISCONSIN, USA IMPACTITE, Breccia, One Side Polished, 70-gr., 2.4-oz.",26.95,2026-01-03,70,0.39,WorthPoint
"""darwin-glass""","""r365-10) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-12-20,,,WorthPoint
"""darwin-glass""",Mini Museum 5th Edition 1 Large 34 Rare Specimens Hans Fex + LED Stand $499 New,170.27,2025-12-19,,,WorthPoint
"""darwin-glass""",11.4 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,25.95,2025-12-16,11.4,2.28,WorthPoint
"""darwin-glass""",Darwin Glass -- 250g BULK - Austalite - Darwinite - Tektite - Impactite #key1,262.49,2025-12-16,250,1.05,WorthPoint
"""darwin-glass""",7.849 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,15.8,2025-12-15,7.849,2.01,WorthPoint
"""darwin-glass""",3.03 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,10.39,2025-12-15,3.03,3.43,WorthPoint
"""darwin-glass""","""Charles Darwin Glass Christmas Ornament 5"""" 2013 Archie McPhee / Accoutrements""",11.49,2025-12-09,,,WorthPoint
"""darwin-glass""",Mt Darwin Tasmania Darwin Glass Meteor Tektite,14.53,2025-12-08,,,WorthPoint
"""darwin-glass""",Charles Darwin Glass Christmas Ornament Archie McPhee,15.99,2025-12-04,,,WorthPoint
"""darwin-glass""","TWENTY DIFFERENT IMPACTITES From ALL OVER Weigh 866-grams, (One-lb., 14.5-oz.)",95,2025-12-03,866,0.11,WorthPoint
"""darwin-glass""","Darwin Glass 5.13g Impactite - Gooey, Stringy Melt Created By Meteorite Impact",17.5,2025-11-29,5.13,3.41,WorthPoint
"""darwin-glass""","""(r365-56) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-11-29,,,WorthPoint
"""darwin-glass""",8.545 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,16.8,2025-11-28,8.545,1.97,WorthPoint
"""darwin-glass""",4.82 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.99,2025-11-10,4.82,1.66,WorthPoint
"""darwin-glass""",7.47 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,12.99,2025-11-08,7.47,1.74,WorthPoint
