material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
allende-meteorite,"Meteorite**Allende, CV3 Carbonaceous**5.684 Gram, Extremely Fresh W/CAI'S, ASU!!",199,2026-01-16,5.684,35.01,WorthPoint
allende-meteorite,"Allende Stone, CC, CV3.2 Fell Feb. 8, 1969 Allende, Mexico 1.32 G",26,2026-01-08,1.32,19.7,WorthPoint
allende-meteorite,"Meteorite**Allende, CV3 Carbonaceous**5.059 Gram, Extremely Fresh W/CAI'S, ASU!!",102.51,2026-01-04,5.059,20.26,WorthPoint
allende-meteorite,"Meteorite: Allende CV3 Carbonaceous , Weight 0.444 Grams",30,2025-12-30,0.444,67.57,WorthPoint
allende-meteorite,"Meteorite**Allende, CV3 Carbonaceous**7.849 Gram, Extremely Fresh W/CAI'S, ASU!!",156,2025-12-29,7.849,19.88,WorthPoint
allende-meteorite,"Meteorite**Allende, CV3 Carbonaceous**0.332 Gram, Extremely Fresh W/CAI'S, ASU!!",18.99,2025-12-24,0.332,57.2,WorthPoint
allende-meteorite,"Meteorite**NWA 17071, CV3**22.097 Grams, W/Rare CAI's (Pre-Solar Grains) !!!",60,2025-12-22,22.097,2.72,WorthPoint
allende-meteorite,"Meteorite**NWA 17071, CV3**7.102 Grams, W/Rare CAI's (Pre-Solar Grains) !!!",29.99,2025-12-15,7.102,4.22,WorthPoint
allende-meteorite,Allende - CV3 Carbonaceous Chondrite - 25.6g - Meteorite Slice,699,2025-12-12,25.6,27.3,WorthPoint
allende-meteorite,17g Allende 41x28x3-4mm Meteorite Fragment Cut (CV3)Type Mexico Fractures 👽,29,2025-12-11,17,1.71,WorthPoint
allende-meteorite,NWA 16715 CV3 Carbonaceous Chondrite Meteorite 1.6g Part Slice CAI & CHONDRULE,5.5,2025-12-10,1.6,3.44,WorthPoint
allende-meteorite,".369 Grams Allende 7x6x5mm Meteorite Fragment (CV3) Mexico Fell Feb 8, 1969",12.99,2025-12-08,369,0.04,WorthPoint
allende-meteorite,"2 Gram Allende 27x17x3mm Meteorite Fragment (CV3)Type Mexico Feb 8, 1969 Cut",40,2025-12-06,2,20,WorthPoint
allende-meteorite,"Allende Stone, CC, CV3.2 Fell Feb. 8, 1969 Allende, Mexico 2.28 G",45,2025-12-04,2.28,19.74,WorthPoint
allende-meteorite,ALLENDE METEORITE 43 Grams - PRICE JUST REDUCED!,800,2025-12-01,43,18.6,WorthPoint
allende-meteorite,"Meteorite**NWA 17071, CV3**8.532 Grams, W/Rare CAI's (Pre-Solar Grains) !!!",12.84,2025-12-01,8.532,1.5,WorthPoint
allende-meteorite,"Meteorite Lot Of 6, Allende-Bilanga-Campo—Canyon Diablo-Djoumine-Seymchan",54.95,2025-11-24,,,WorthPoint
allende-meteorite,"Meteorite**NWA 17071, CV3**2.512 Grams, W/Rare CAI's (Pre-Solar Grains) !!!",18,2025-11-24,2.512,7.17,WorthPoint
allende-meteorite,"Meteorite**NWA 17071, CV3**2.526 Grams, W/Rare CAI's (Pre-Solar Grains) !!!",39.99,2025-11-18,2.526,15.83,WorthPoint
allende-meteorite,"Meteorite**NWA 17071, CV3**7.680 Grams, W/Rare CAI's (Pre-Solar Grains) !!!",31,2025-11-17,7.68,4.04,WorthPoint
allende-meteorite,"Meteorite**NWA 16800; CV3 Carbonaceous**9.875 Gram Slice, W/Rare AOA'S!!!",120,2025-11-13,9.875,12.15,WorthPoint
allende-meteorite,".298 Grams Allende 10x7x2mm Meteorite Fragment (CV3) Mexico Fell Feb 8, 1969",9.99,2025-11-10,298,0.03,WorthPoint
allende-meteorite,.792 Grams 10mm NWA 3133 Meteorite Slice ( Classified As CV7 ) With A COA,24.99,2025-11-08,792,0.03,WorthPoint
allende-meteorite,".325 Grams Allende 10x7x5mm Meteorite Fragment (CV3) Mexico Fell Feb 8, 1969",9.99,2025-11-08,325,0.03,WorthPoint
allende-meteorite,".569 Grams Allende 14x7x5mm Meteorite Fragment (CV3) Mexico Fell Feb 8, 1969",14.99,2025-11-08,569,0.03,WorthPoint
