material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
australite,"Tektites, Var. Australitie - Kalgoorlie, Western Australia. Weight = 30,0 Gram",288,2026-01-13,,,WorthPoint
australite,Western Australian North Eastern Goldfields Australite/Meteorite Tektites,97.07,2026-01-03,,,WorthPoint
australite,"""r365-10) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-12-20,,,WorthPoint
australite,"Australite,Tektite Button Shaped From Goldfields Western Australia 9.77g",33.01,2025-12-20,9.77,3.38,WorthPoint
australite,"""(r365-56) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-11-29,,,WorthPoint
australite,Western Australia Indochinites Meteorites Tektites .5 Oz,12.99,2025-11-27,141.75,0.09,WorthPoint
australite,"Philippinite Tektite 43.14g Subtly Grooved Biscuit, Made By Meteorite Impactite",33,2025-11-26,43.14,0.76,WorthPoint
australite,"""(r365-55) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-10-26,,,WorthPoint
australite,"Flanged Button Replica - Australite Tektite, From Meteorite Impact",26,2025-10-11,,,WorthPoint
australite,"""(R399-17-1) 4"""" Fossil Fulgurite Petrified Lightning Strike Beach Sand Glass GA""",26.99,2025-09-30,,,WorthPoint
australite,"""r365-13) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
australite,"""r365-11) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
australite,"""(r364-118) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2025-08-03,,,WorthPoint
australite,"""r365-1) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-07-27,,,WorthPoint
australite,"""(r365-34) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-07-24,,,WorthPoint
australite,"3pc. 77g Australite Tektite Meteorite Impact Glass Mineral Specimens, Australia",14.99,2025-07-24,77,0.19,WorthPoint
australite,"""(r365-41) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-07-15,,,WorthPoint
australite,"""(r365-53) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-07-14,,,WorthPoint
australite,"""(r365-42) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-06-27,,,WorthPoint
australite,"""r365-3) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-06-25,,,WorthPoint
australite,"""(r365-54) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-06-24,,,WorthPoint
australite,"""(r365-36) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-06-03,,,WorthPoint
australite,"""(r366-22) 2-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",18.99,2025-05-25,,,WorthPoint
australite,"""(r365-48) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-05-25,,,WorthPoint
australite,"""(r365-35) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-05-25,,,WorthPoint
australite,"""(r365-50) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-05-25,,,WorthPoint
australite,"""(r364-117) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2025-05-19,,,WorthPoint
australite,"""r365-6) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-05-06,,,WorthPoint
australite,"""(r364-113) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2025-05-05,,,WorthPoint
australite,Astralite Tektite Great Surface Features 1.42g,13.99,2025-04-22,1.42,9.85,WorthPoint
australite,"""(r365-45) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-04-09,,,WorthPoint
australite,"""(R399-17-4) 4"""" Fossil Fulgurite Petrified Lightning Strike Beach Sand Glass GA""",26.99,2025-03-24,,,WorthPoint
australite,"""(r365-44) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-03-04,,,WorthPoint
australite,"""(r365-37) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-03-03,,,WorthPoint
australite,"""r365-32-6) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-02-21,,,WorthPoint
australite,"""Tektite (""""Australite"""") - Darwin, Northern Territory, Australia""",10,2025-02-09,,,WorthPoint
australite,"""(r362-50) 4 Piece Set 1/2-1-1/8"""" Fulgurites Lightning Strike Beach Sand Glass GA""",22.99,2025-02-08,,,WorthPoint
australite,"""(r364-132) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2025-01-22,,,WorthPoint
australite,"""r365-4) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-01-22,,,WorthPoint
australite,"""r365-8) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-01-22,,,WorthPoint
australite,"""r365-2) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-01-11,,,WorthPoint
australite,"""(r364-138) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2024-12-19,,,WorthPoint
australite,"Philippinite Tektite 136.14g Deeply Grooved Biscuit, By Meteorite Impact",69,2024-12-14,136.14,0.51,WorthPoint
australite,"""r365-32-4) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2024-12-12,,,WorthPoint
