material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
bediasite,"""r365-10) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-12-20,,,WorthPoint
bediasite,Texas Bediasite Tektite Fossil Meteor Specimen 25g,299.99,2025-12-08,25,12,WorthPoint
bediasite,"""(r365-56) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-11-29,,,WorthPoint
bediasite,"""(r365-55) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-10-26,,,WorthPoint
bediasite,"Bediasite Tektite 3.73g Texas Impactite, Made By Meteorite Impact",75,2025-10-18,3.73,20.11,WorthPoint
bediasite,"Bediasite Tektite 3.11g Translucent Impactite, Made By Meteorite Impact",45,2025-10-18,3.11,14.47,WorthPoint
bediasite,"Bediasite Tektite 17.34g Translucent Impactite, Made By Meteorite Impact",364,2025-10-11,17.34,20.99,WorthPoint
bediasite,"Bediasite Tektite 1.83g Texas Impactite, Made By Meteorite Impact",33,2025-10-11,1.83,18.03,WorthPoint
bediasite,"Bediasite Tektite 7.69g Texas Impactite, Made By Meteorite Impact",150,2025-10-07,7.69,19.51,WorthPoint
bediasite,"Bediasite Tektite 12.40g Texas Impactite, Made By Meteorite Impact",246,2025-10-05,12.4,19.84,WorthPoint
bediasite,"""(R399-17-1) 4"""" Fossil Fulgurite Petrified Lightning Strike Beach Sand Glass GA""",26.99,2025-09-30,,,WorthPoint
bediasite,"""r365-13) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
bediasite,"""r365-11) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
bediasite,"""(r364-118) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2025-08-03,,,WorthPoint
bediasite,"""r365-1) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-07-27,,,WorthPoint
bediasite,"""(r365-34) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-07-24,,,WorthPoint
bediasite,"Tektite Variety Bediasite, Grimes Co. Texas (Steve Garza)",40,2025-07-18,,,WorthPoint
bediasite,"""(r365-41) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-07-15,,,WorthPoint
bediasite,"""(r365-53) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-07-14,,,WorthPoint
bediasite,"""(r365-42) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-06-27,,,WorthPoint
bediasite,"""r365-3) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-06-25,,,WorthPoint
bediasite,"""(r365-54) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-06-24,,,WorthPoint
bediasite,"""(r365-36) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-06-03,,,WorthPoint
bediasite,"""(r366-22) 2-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",18.99,2025-05-25,,,WorthPoint
bediasite,"""(r365-48) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-05-25,,,WorthPoint
bediasite,"""(r365-35) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-05-25,,,WorthPoint
bediasite,"""(r365-50) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-05-25,,,WorthPoint
