material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
bismuth-crystal,10G Beautiful Natural Bismuth Crystal Mineral Specimen/Gift,10.5,2026-01-22,10,1.05,WorthPoint
bismuth-crystal,Bismuth Mineral Element Display Specimen Weight: 44 Grams Size: 44x22 Mm,8.5,2025-12-25,44,0.19,WorthPoint
bismuth-crystal,3 Bismuth Crystal Specimens Rainbow Colors 74 Grams Total Gemstone Mineral #591,14.6,2025-12-25,74,0.2,WorthPoint
bismuth-crystal,Bismuth Crystal Chinese Mummy,19,2025-12-21,,,WorthPoint
bismuth-crystal,Mermaid Rainbow Titanium Bismuth •Crystal Carving• 3”,10,2025-12-19,,,WorthPoint
bismuth-crystal,Bismuth Crystal Rainbow Dog Hound,49,2025-12-14,,,WorthPoint
bismuth-crystal,Bismuth Crystal Feather -2 Pieces,25,2025-12-14,,,WorthPoint
bismuth-crystal,2pcs Native Lab Grown Bismuth New Zealand Minerals Crystals Gems-min,7.99,2025-12-11,,,WorthPoint
bismuth-crystal,Raku Heart Rattle & Bismuth Crystal Cluster,11.3,2025-12-11,,,WorthPoint
bismuth-crystal,1 Pound .9999 Fine Raw Bismuth - Grimm Metals,60,2025-12-08,,,WorthPoint
bismuth-crystal,Bismuth Metal Ingot 99.99% Pure - 5 POUNDS,108,2025-12-06,,,WorthPoint
bismuth-crystal,"Bismuth Maglev, Unique Handcrafted Kinetic Science Art, Levitation Gadget",59.95,2025-12-06,,,WorthPoint
bismuth-crystal,Natural Aura Rainbow Titanium Bismuth Ore Stone Crystal Cluster Specimens Reiki,1.04,2025-12-04,,,WorthPoint
bismuth-crystal,100g Natural Aura Blue Titanium Quartz Cluster Healing Crystal Druzy Geode Decor,11.39,2025-12-04,100,0.11,WorthPoint
bismuth-crystal,Signed Dichroic Art Glass Egg & Bismuth Crystal Geode Egg,55.46,2025-12-02,,,WorthPoint
bismuth-crystal,"Bismuth Crystal Stone Large Specimen For Collecting,Wire Wrapping,Wicca & Reiki",19.95,2025-11-30,,,WorthPoint
bismuth-crystal,Bismuth Crystal Bowl. Multicolored And In Excellent Condition,50,2025-11-30,,,WorthPoint
bismuth-crystal,BISMUTH One (1) Large Rainbow Crystal Education Teaching Aid - Bonus Ingot!,19.9,2025-11-27,,,WorthPoint
bismuth-crystal,120g Natural Aura Green Titanium Quartz Crystal Cluster Spiritual Healing Stone,12.06,2025-11-25,120,0.1,WorthPoint
bismuth-crystal,"""Bismuth Crystal Ore Geode Bowl – 4"""" Inch, Rainbow Metal Art""",44.99,2025-11-24,,,WorthPoint
bismuth-crystal,Rainbow Bismuth Mineral Element Display Specimen Weight: 50 Grams,8.5,2025-11-24,50,0.17,WorthPoint
