material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
campo-del-cielo-meteorite,Meteorite And Display Cube 6.8 Gram Genuine Campo Del Cielo Meteorite With COA,29.99,2026-01-23,6.8,4.41,WorthPoint
campo-del-cielo-meteorite,61.8 Grams CAMPO DEL CIELO METEORITE Polished With A Flat Side On It/ Info + COA,34.99,2026-01-21,61.8,0.57,WorthPoint
campo-del-cielo-meteorite,Low Price Super Shape! Big Campo Del Cielo Meteorite Shattered Crystal! 130.4 Gm,81.75,2026-01-20,130.4,0.63,WorthPoint
campo-del-cielo-meteorite,"Authentic Meteorites - Space Rocks Campo Del Cielo, Argentina Discovered 1576 Ad",11.5,2026-01-20,,,WorthPoint
campo-del-cielo-meteorite,Lot Of 5 Authentic Campo Del Cielo Meteorites Collection 6a,14.95,2026-01-19,,,WorthPoint
campo-del-cielo-meteorite,Authentic Real Meteorite Space Rock Campo Del Cielo Argentina 1576AD Crystal INB,15.99,2026-01-18,,,WorthPoint
campo-del-cielo-meteorite,Meteorite CAMPO DEL CIELO Rare Silicate Inclusion Of This Iron !!- Thin Section,52,2026-01-18,,,WorthPoint
campo-del-cielo-meteorite,Minerals *** METALLIC METEORITE Campo Del Cielo ARGENTINA,20.33,2026-01-18,,,WorthPoint
campo-del-cielo-meteorite,42.6 Grams CAMPO DEL CIELO METEORITE Polished With A Flat Side On It/ Info + COA,29.99,2026-01-18,42.6,0.7,WorthPoint
campo-del-cielo-meteorite,66.6 Grams CAMPO DEL CIELO METEORITE Polished With A Flat Side On It/ Info + COA,38,2026-01-18,66.6,0.57,WorthPoint
campo-del-cielo-meteorite,48 Gm Campo Del Cielo Meteorite Crystal Great Piece With Stand Jal,47.45,2026-01-17,48,0.99,WorthPoint
campo-del-cielo-meteorite,72.4 Grams CAMPO DEL CIELO Iron METEORITE Polished + Certificate Of Authenticity,53.99,2026-01-17,72.4,0.75,WorthPoint
campo-del-cielo-meteorite,✰ Iron Stone Meteorite Campo Del Cielo Meteor Comet Rock's Specimen Collection,19.99,2026-01-16,,,WorthPoint
campo-del-cielo-meteorite,"35.01 Gram Campo Del Cielo Argentina Meteorite, Iron From Outer Space # ME 647",26.5,2026-01-16,35.01,0.76,WorthPoint
