material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
canyon-diablo,"Canyon Diablo Meteorite Slice, Authentic Meteorite, Arizona Meteorite, 18.06g",73.6,2026-01-22,18.06,4.08,WorthPoint
canyon-diablo,1029 Grams Old Route 66 Canyon Diablo American Meteorite Museum WALL BRICK ROCK,17.99,2026-01-22,1029,0.02,WorthPoint
canyon-diablo,167 Gm . CANYON DIABLO IRON METEORITE MUSEUM GD ARIZONA .36 LBS JAL Stand,215.1,2026-01-21,167,1.29,WorthPoint
canyon-diablo,2000 Gm Lot 5-50 Gm Weight . Canyon Diablo Iron Meteorites Top Grade Arizona,1795.5,2026-01-21,2000,0.9,WorthPoint
canyon-diablo,12.3 Grams Canyon Diablo As Found Meteor Crater Iron Meteorite With A COA,17.99,2026-01-21,12.3,1.46,WorthPoint
canyon-diablo,6.41 Grams Canyon Diablo As Found Meteor Crater Iron Meteorite With A COA,10.99,2026-01-21,6.41,1.71,WorthPoint
canyon-diablo,20 Individuals 236 GMS SMALL CANYON DIABLO IRON METEORITES ARIZONA CLEANED,265.05,2026-01-20,236,1.12,WorthPoint
canyon-diablo,Low Price Super Shape! Big Campo Del Cielo Meteorite Shattered Crystal! 130.4 Gm,81.75,2026-01-20,130.4,0.63,WorthPoint
canyon-diablo,142 Gm . CANYON DIABLO IRON METEORITE MUSEUM GD ARIZONA .31 LBS JAL Stand,179.1,2026-01-19,142,1.26,WorthPoint
canyon-diablo,322 Gm . CANYON DIABLO IRON METEORITE MUSEUM GD ARIZONA .71 LBS JAL Stand,404.1,2026-01-17,322,1.25,WorthPoint
canyon-diablo,Set Of Five Meteorite Chips,10,2026-01-17,,,WorthPoint
canyon-diablo,NIUE ISLAND 2014 CANYON DIABLO METEORITE 1 Oz. SILVER COIN,175,2026-01-14,28.35,6.17,WorthPoint
canyon-diablo,890 Gm CANYON DIABLO IRON METEORITE MUSEUM COLLECTORS GRADE ARIZONA 2.0 LBS JAL,1139.05,2026-01-14,890,1.28,WorthPoint
canyon-diablo,Beautiful 274 Gm. Etched Canyon Diablo Meteorite Pair Arizona,407.55,2026-01-13,274,1.49,WorthPoint
canyon-diablo,706 Gm CAMPO DEL CIELO METEORITE BEAUTIFUL AAA GRADE METEORITE 1.56 POUNDS,806.55,2026-01-13,706,1.14,WorthPoint
canyon-diablo,"Canyon Diablo Iron IAB Coconino County, Arizona Found 1891 3.5 G",11,2026-01-11,3.5,3.14,WorthPoint
canyon-diablo,278 Gm. Las Palmas Campo Del Cielo Meteorite Museum Gd. Stand .61 Lbs,569.05,2026-01-11,278,2.05,WorthPoint
canyon-diablo,250 GM LOT OF CAMPO DEL CIELO METEORITE CRYSTALS FROM .5-30 Gm IN SIZE MIXTURE,125,2026-01-11,250,0.5,WorthPoint
canyon-diablo,"H.H. Nininger Meteorite Crater Study Kit, New Old Stock, Canyon Diablo",104.49,2026-01-10,,,WorthPoint
canyon-diablo,"Canyon Diablo Meteorite Pendant, Arizona Meteorite, Space Gift, 12.64 Grams",56,2026-01-10,12.64,4.43,WorthPoint
canyon-diablo,20 Individuals 205 GMS SMALL CANYON DIABLO IRON METEORITES ARIZONA CLEANED,231.8,2026-01-05,205,1.13,WorthPoint
canyon-diablo,Meteorite Lot Of 5 With COA’s - Campo Del Cielo - Canyon Diablo - 30+ Lbs,3295,2026-01-04,,,WorthPoint
canyon-diablo,Beautiful 260 Gm. Etched Campo Del Cielo Meteorite End Cut .57 Lbs.,236.55,2026-01-01,260,0.91,WorthPoint
canyon-diablo,26 Gm . CANYON DIABLO IRON METEORITE ARIZONA USA CASE MUSEUM GRADE,37.95,2025-12-31,26,1.46,WorthPoint
canyon-diablo,28.3 Grams OXIDE Canyon Diablo Meteor Crater OXIDITE Meteorite As Found Low Iron,22.99,2025-12-30,28.3,0.81,WorthPoint
canyon-diablo,Original Rail Slide - BNSF B'ton Northern Santa Fe 8281+ Canyon Diablo AZ 12-'97,11.61,2025-12-30,,,WorthPoint
canyon-diablo,Original Rail Slide - BN Burlington Northern 7067+ Canyon Diablo AZ 7-15-1988,7.15,2025-12-30,,,WorthPoint
canyon-diablo,Huge 1018 Gm Campo Del Cielo Meteorite Museum Collectors Grade 2.3 Lbs,1165.5,2025-12-29,1018,1.14,WorthPoint
canyon-diablo,12.4 Grams All The Canyon Diablo Meteor Oxide Crater OXIDITE Meteorites As Found,9.99,2025-12-29,12.4,0.81,WorthPoint
canyon-diablo,10.7 Grams All The Canyon Diablo Meteor Oxide Crater OXIDITE Meteorites As Found,7.99,2025-12-29,10.7,0.75,WorthPoint
canyon-diablo,31.5 Grams All The Canyon Diablo Meteor Oxide Crater Oxidite As Found Meteorites,24.99,2025-12-29,31.5,0.79,WorthPoint
canyon-diablo,Fred Harvey Lot Of 10 Vintage Phostint Postcards - Grand Canyon - NM AZ CA,13.5,2025-12-29,,,WorthPoint
canyon-diablo,62 G CANYON DIABLO IRON METEORITE Great Specimen AAA Grade Fast Shipping,38.95,2025-12-29,62,0.63,WorthPoint
canyon-diablo,20 Individuals 228 GMS SMALL CANYON DIABLO IRON METEORITES ARIZONA CLEANED JAL,236.55,2025-12-28,228,1.04,WorthPoint
canyon-diablo,236 Gm . CANYON DIABLO IRON METEORITE AAA GRADE; ARIZONA STAND .51 LBS,284.05,2025-12-26,236,1.2,WorthPoint
canyon-diablo,154 Gm CANYON DIABLO IRON METEORITE AAA GRADE ARIZONA STAND USA,189.95,2025-12-26,154,1.23,WorthPoint
canyon-diablo,5 PIECE LOT OF 520Gms. CANYON DIABLO IRON METEORITES TOP GRADE ARIZONA PATINA US,569.05,2025-12-26,520,1.09,WorthPoint
canyon-diablo,Original Rail Slide - ATSF Santa Fe Railway 5514+ Canyon Diablo AZ 7-15-1988,5.08,2025-12-26,,,WorthPoint
canyon-diablo,19 Tiny Individuals 163 GMS SMALL CANYON DIABLO IRON METEORITES ARIZONA,217.55,2025-12-23,163,1.33,WorthPoint
canyon-diablo,1900 Gm Wholesale Lot 93-212 Gm. Canyon Diablo Iron Meteorites Arizona Usa Jal,1515.25,2025-12-23,1900,0.8,WorthPoint
canyon-diablo,2000 Gm Wholesale Lot 48-100 Gm. Canyon Diablo Iron Meteorites Arizona Usa Jal,1420.25,2025-12-23,2000,0.71,WorthPoint
canyon-diablo,Canyon Diablo Nickel/iron Meteorite (410 Grams). See Letter Of Authenticity.,395,2025-12-23,410,0.96,WorthPoint
canyon-diablo,PAIR OF TOTAL WEIGHT 27gms. CANYON DIABLO IRON METEORITES ARIZONA Cases INCL,47.45,2025-12-23,27,1.76,WorthPoint
canyon-diablo,20.7 Grams Canyon Diablo Coconino From Rim Of Meteor Crater In Arizona 1980's,5.99,2025-12-23,20.7,0.29,WorthPoint
canyon-diablo,Lg 980 Gm Campo Del Cielo Meteorite Aaa Grade 2.1 Lbs Stand,1075.5,2025-12-23,980,1.1,WorthPoint
canyon-diablo,20 Individuals 166 GMS SMALL CANYON DIABLO IRON METEORITES ARIZONA,217.55,2025-12-22,166,1.31,WorthPoint
canyon-diablo,292 Gm New Campo Del Cielo Meteorite ;a Grade!! Beautiful Small Meteorite,331.74,2025-12-22,292,1.14,WorthPoint
canyon-diablo,4.85 Grams Canyon Diablo As Found Meteor Crater Iron Meteorite With A COA,11.99,2025-12-22,4.85,2.47,WorthPoint
