material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
chelyabinsk,Chelyabinsk Russia Meteorite Coin,29,2026-01-21,,,WorthPoint
chelyabinsk,License Plate Russia / Russia License Plate 174 Chelyabinsk Region,23.48,2026-01-21,,,WorthPoint
chelyabinsk,"Perovskite Akhmatov Mine, Magnitka, Kusinsky District, Russia",56,2026-01-20,,,WorthPoint
chelyabinsk,"Soviet Russian Collectible Badge \\\""Ural\\\"" USSR",11.99,2026-01-16,,,WorthPoint
chelyabinsk,Vintage Radio Receiver RUSSIA RP 303-1. USSR. 1990. WORKS.,42,2026-01-13,,,WorthPoint
chelyabinsk,Unusual 5 Day Russian Chelyabinsk Watch Factory Desk Clock ...,94.16,2026-01-10,,,WorthPoint
chelyabinsk,Russian / Soviet Sputnik First Soviet Satellite 1957 Enamel / Brass Space Pin,28.99,2026-01-09,,,WorthPoint
chelyabinsk,Russia 5000 Roubles 2023 P-279A New Design UNC Uncirculated Banknote Paper Money,95.75,2026-01-03,,,WorthPoint
chelyabinsk,.655 Grams For All The Crusted Individuals Chelyabinsk Meteorites LL5 Russia COA,12.99,2026-01-02,655,0.02,WorthPoint
chelyabinsk,.492 Grams For All The Crusted Individuals Chelyabinsk Meteorites LL5 Russia COA,11.99,2026-01-02,492,0.02,WorthPoint
chelyabinsk,.765 Grams For All The Crusted Individuals Chelyabinsk Meteorites LL5 Russia COA,15.99,2026-01-02,765,0.02,WorthPoint
chelyabinsk,.759 Grams For All The Crusted Individuals Chelyabinsk Meteorites LL5 Russia COA,15.99,2025-12-31,759,0.02,WorthPoint
chelyabinsk,"CHELYABINSK 8.24g Meteorite, 75% Crusted Individual, Witnessed Fall IMCA Sellers",253,2025-12-30,8.24,30.7,WorthPoint
chelyabinsk,"CHELYABINSK 1.872g Meteorite, Individual Stone, Fresh Fusion Crusted, A+ Quality",72,2025-12-29,1.872,38.46,WorthPoint
chelyabinsk,AZURITE GEODE Crystal Cluster Mineral Specimen Section Gemstone RUSSIA,35.99,2025-12-29,,,WorthPoint
chelyabinsk,V. Kravtsov Traktor Chelyabinsk 2024-25 Gagarin Cup Hockey Jersey DK 54/2XL,299.99,2025-12-27,25,12,WorthPoint
chelyabinsk,Vintage 1970s Kasli Dutch Soot Cast-Iron Wall Decor Great Snake Made In USSR #48,99.95,2025-12-27,,,WorthPoint
chelyabinsk,"Collection LOT Of 10 Meteorites (Lunar, Erg Chech 002, Chelyabinsk, More!)",31,2025-12-27,,,WorthPoint
chelyabinsk,RARE 2004 Chelyabinsk Region Pictorial History Book With Slipcase And Map VG,19.25,2025-12-24,,,WorthPoint
chelyabinsk,.491 Grams For All The Crusted Individuals Chelyabinsk Meteorites LL5 Russia COA,10.99,2025-12-23,491,0.02,WorthPoint
chelyabinsk,.537 Grams For All 16 Crusted Individuals Chelyabinsk Meteorite (LL5) Russia COA,13.99,2025-12-23,537,0.03,WorthPoint
chelyabinsk,.411 Grams For All 10 Crusted Individuals Chelyabinsk Meteorite (LL5) Russia COA,11.99,2025-12-23,411,0.03,WorthPoint
chelyabinsk,.554 Grams For All 14 Crusted Individuals Chelyabinsk Meteorite (LL5) Russia COA,12.49,2025-12-23,554,0.02,WorthPoint
chelyabinsk,NWA 6287 LL5 Chondrite Meteorite 4.1 Gram Part Slice,5.5,2025-12-20,4.1,1.34,WorthPoint
chelyabinsk,Ham Radio QSL UA9AO Troitsk USSR 1989 SSB 21 MHz Contact Card,15.99,2025-12-19,,,WorthPoint
chelyabinsk,Mini Museum 1st Edition 1 Large 33 Rare Specimens Hans Fex + LED Stand $1399 New,1025,2025-12-19,,,WorthPoint
chelyabinsk,6.47 Gram CHELYABINSK METEORITE Individual (LL5 Chondrite) 2013 Fall In RUSSIA,128.8,2025-12-18,6.47,19.91,WorthPoint
chelyabinsk,.436 Grams For All The Crusted Individuals Chelyabinsk Meteorites LL5 Russia COA,9.99,2025-12-17,436,0.02,WorthPoint
chelyabinsk,.602 Grams For All The Crusted Individuals Chelyabinsk Meteorites LL5 Russia COA,12.99,2025-12-16,602,0.02,WorthPoint
chelyabinsk,19thC Antique 1½ct Multi-Color Siberian Andalusite Medieval France Gem Of Heaven,199.99,2025-12-15,,,WorthPoint
chelyabinsk,.623 Grams For All 14 Crusted Individuals Chelyabinsk Meteorite (LL5) Russia COA,13.99,2025-12-13,623,0.02,WorthPoint
