material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
fulgurite,Lot Of SIX! Big! 100% Natural FULGURITE S Or Petrified Lighting 44.3gr,49.99,2026-01-19,44.3,1.13,WorthPoint
fulgurite,FULGURITE Lightning Glass Mineral Specimen SAHARA DESERT Fused Sand AFRICA,19.99,2026-01-19,,,WorthPoint
fulgurite,FULGURITE Lot From Lightning Striking Sand Found By Sahara Nomads (#F7954),10.05,2026-01-17,,,WorthPoint
fulgurite,Long! HOLLOW Tubular FULGURITE Or Petrified Lightning 100% Natural 1.69gr,14.99,2026-01-16,1.69,8.87,WorthPoint
fulgurite,Lot Of EIGHT! Long 100% Natural FULGURITE S Or Petrified Lighting 12.2gr,29.99,2026-01-12,12.2,2.46,WorthPoint
fulgurite,Beautiful Fulgurite Lightning Fused Sand Sahara Bilma Erg-Niger,150,2026-01-11,,,WorthPoint
fulgurite,Lightning Glass Fulgurite,95,2026-01-06,,,WorthPoint
fulgurite,"Florida Fulgurite Lightning Strike 2-1/2\\\"" Sand Fused Tubular Glass Specimen",19.75,2026-01-05,,,WorthPoint
fulgurite,FULGURITE From Lightning Striking Sand Found By Sahara Nomads WITH HOLE (#F7939),10.04,2026-01-04,,,WorthPoint
fulgurite,"""2.5"""" Fulgurite Petrified Lightning Strike Glass Sahara Desert Algeria""",18.89,2025-12-30,,,WorthPoint
fulgurite,Lot Of SIX LONG! FULGURITE S Or Petrified Lighting 100% Natural Algeria 24.6gr,34.99,2025-12-30,24.6,1.42,WorthPoint
fulgurite,Alabama Beaches Fulgurite 5.5 Inch Lightning Glass 417 Grams Large,300,2025-12-30,417,0.72,WorthPoint
fulgurite,Fulgurite Copper Layer Citadel Paint Warhammer 40K,6.1,2025-12-30,,,WorthPoint
fulgurite,"""4"""" X 6"""" X 1/2"""" Captured Lightning Vertical Tree Lichtenberg Figure Sculpture""",116,2025-12-25,,,WorthPoint
fulgurite,"""4"""" Fossil Fulgurite Petrified Lightning Stike""",29.99,2025-12-24,,,WorthPoint
fulgurite,FULGURITE LIGHTNING GLASS FUSED SAND Desert Specimen SAHARA DESERT W/ ID Card,5.99,2025-12-22,,,WorthPoint
fulgurite,Fulgurite High Quality,20,2025-12-21,,,WorthPoint
fulgurite,BIG Lot Of Nice! 100% Natural FULGURITE S Or Petrified Lighting 25.2gr,24.99,2025-12-21,25.2,0.99,WorthPoint
fulgurite,"""r365-10) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-12-20,,,WorthPoint
fulgurite,HUGE Lot Of LARGER 100% Natural FULGURITE S Or Petrified Lighting 105gr,39.99,2025-12-19,105,0.38,WorthPoint
fulgurite,Mini Museum 2nd Edition 1 Large 26 Rare Specimens Hans Fex + LED Stand $999 New,289,2025-12-19,,,WorthPoint
fulgurite,Big Lot Of Eight LONG HOLLOW Tubular FULGURITE S Or Petrified Lighting 16.3gr,49.99,2025-12-18,16.3,3.07,WorthPoint
fulgurite,"""4"""" X 4"""" X 1"""" Captured Lightning Lichtenberg Figure Tree & Walnut Lighted Base""",159,2025-12-17,,,WorthPoint
fulgurite,Fulgurite-Natural Specimen Lightning Fused/California. Beautiful Specimens 20.2g,28,2025-12-17,20.2,1.39,WorthPoint
fulgurite,Lot Of Four Larger! HOLLOW FULGURITE S Or Petrified Lighting Algeria 9.9gr,22.99,2025-12-14,9.9,2.32,WorthPoint
fulgurite,"""RARE Natural Fulgurite Crystals, 2-3"""" Choose How Many (Petrified Lightning)""",6.99,2025-12-14,,,WorthPoint
fulgurite,Adeptus Mechanicus 10x Fulgurite Electro-Priests - Painted #4818,79,2025-12-11,,,WorthPoint
fulgurite,Lot Of 60 32mm Round Bases Used For Warhammer 40k + AoS Games Workshop Bitz,8.49,2025-12-09,,,WorthPoint
fulgurite,Rare Large 43 Grams Fulgurite Lightning Stone Florida 43g Rough Raw Mineral,75,2025-12-09,43,1.74,WorthPoint
fulgurite,"Fulgurite, Fossilized Lightening",12,2025-12-09,,,WorthPoint
fulgurite,Long! 100% Natural Fulgurite Necklace Or Pendant! Petrified Lighting 6.27,18.99,2025-12-08,,,WorthPoint
fulgurite,18” Fulgurite Fossilized Lightning Strike Tube Natural Silica Glass Specimen,499,2025-12-07,,,WorthPoint
fulgurite,Adeptus Mechanicus Electro-Priests - Warhammer 40k - Brand New! 59-15,51,2025-12-06,,,WorthPoint
fulgurite,Fulgurite Lightning. Petrified Lightning. 5 Inches Genuine Stone From Africa,48,2025-12-05,,,WorthPoint
fulgurite,Lot Of 100 32mm Round Bases Used For Warhammer 40k + AoS Games Workshop Bitz,8.89,2025-12-04,,,WorthPoint
fulgurite,Fulgurite Electro-Priests Electroleech Stave Bits - Warhammer 40k Skitarii,7.99,2025-12-04,,,WorthPoint
fulgurite,"""terrific Rare, 2 11/16 """" Fulgurite, Fused Cast Of Lightning In Sand,polk Co, Fl""",22,2025-12-03,,,WorthPoint
fulgurite,LONG HOLLOW Tubular FULGURITE Or Petrified Lightning 100% Natural Algeria 6.4gr,34.99,2025-12-02,6.4,5.47,WorthPoint
fulgurite,Warhammer 40k Adeptus Mechanicus Admech Fulgurite Electro-Priests - A147,31.5,2025-12-02,,,WorthPoint
fulgurite,LONG! FULGURITE Or Petrified Lightning 100% Natural Algeria 9.4gr,34.99,2025-12-02,9.4,3.72,WorthPoint
fulgurite,Lot Of Five LONG! TUBULAR HOLLOW Fulgurite S Or Petrified Lighting 9.2gr,39.99,2025-12-02,9.2,4.35,WorthPoint
fulgurite,LIGHTNING GLASS FULGURITE Black Shiny FUSED SAND Pacific Northwest 3.5 In,8,2025-12-01,,,WorthPoint
fulgurite,"""2.7"""" Fulgurite Petrified Lightning Strike Glass Sahara Desert Algeria""",21.59,2025-11-30,,,WorthPoint
fulgurite,"""1.7"""" Fulgurite Petrified Lightning Strike Glass Sahara Desert Algeria""",16.19,2025-11-30,,,WorthPoint
fulgurite,"""2.1"""" Fulgurite Petrified Lightning Strike Glass Sahara Desert Algeria""",17.99,2025-11-30,,,WorthPoint
fulgurite,"""(r365-56) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-11-29,,,WorthPoint
fulgurite,"""(r353-35d) 2-3/4"""" Fulgurite Lightning Strike Beach Dune Sand Glass West Texas""",38.99,2025-11-29,,,WorthPoint
fulgurite,Games Workshop Warhammer 40K Adeptus Mechanicus Force,255,2025-11-28,,,WorthPoint
fulgurite,Fulgurites - Pair Of Natural Glass Tubes Formed By Lightning Strikes On Sand,18.15,2025-11-28,,,WorthPoint
fulgurite,Alabama Beaches Fulgurite 3.5 Inch Lightning Glass 72 Grams,50,2025-11-27,72,0.69,WorthPoint
fulgurite,Lot Of 20 32mm Round Bases Used For Warhammer 40k + AoS Games Workshop Bitz,6.59,2025-11-26,,,WorthPoint
fulgurite,BIG! HOLLOW FULGURITE Or Petrified Lightning 100% Natural Algeria 22.9gr,39.99,2025-11-23,22.9,1.75,WorthPoint
fulgurite,Mini Museum 2 Limited 2nd Edition - Large 26 Rare Specimens Hans Fex Kickstarter,299.99,2025-11-21,,,WorthPoint
fulgurite,"""Mineral Specimens: Fulgurite, Lightning-Fused Sand Tubes, 5 Tubes/Lot, 1"""" - 1.5""""""",5.99,2025-11-20,,,WorthPoint
fulgurite,"RARE Fulgurite Crystals, Natural Lightning Formed Fulgurite Wholesale Bulk Lots",8.95,2025-11-20,,,WorthPoint
fulgurite,BIG Lot Of EIGHT! Big! 100% Natural FULGURITE S Or Petrified Lighting 75.6gr,39.99,2025-11-19,75.6,0.53,WorthPoint
fulgurite,Adeptus Mechanicus Army Lot,800,2025-11-18,,,WorthPoint
fulgurite,Lot Of EIGHT! Big! 100% Natural FULGURITE S Or Petrified Lighting 37.8gr,59.99,2025-11-17,37.8,1.59,WorthPoint
fulgurite,Fulgurite Necklace Or Pendant Petrified Lighting! 100% Natural 7.54,13.99,2025-11-17,,,WorthPoint
fulgurite,HUGE FULGURITE Lot From Lightning Striking Sand Found By Sahara Nomads (#Z476),58.59,2025-11-17,,,WorthPoint
fulgurite,Fulgurite Stone Made From Lightning,39.67,2025-11-14,,,WorthPoint
