material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
gallium,Meteorite And Display Cube 6.8 Gram Genuine Campo Del Cielo Meteorite With COA,29.99,2026-01-23,6.8,4.41,WorthPoint
gallium,Large Muonionalusta Meteorite Slice Slab Etched 100 Gms Sweden Stand Rings,236.55,2026-01-21,100,2.37,WorthPoint
gallium,Large Muonionalusta Meteorite Slice Etched 141 Gms Sweden Stand Rings,331.55,2026-01-21,141,2.35,WorthPoint
gallium,Large Muonionalusta Meteorite Triple Cut Etched 191 Gms Sweden Stand Rings,474.05,2026-01-18,191,2.48,WorthPoint
gallium,Large 2206 Gm Muonionalusta Iron Meteorite Aaa Grade 5 Lbs Jal Sweden,2969.1,2026-01-16,2206,1.35,WorthPoint
gallium,3I306M Switching Tunnel Diode Ga-As Military USSR.Lot Of 10 Pcs.,10,2026-01-11,,,WorthPoint
gallium,"Data Punch Cards? ASTM Typing On Cards About Rocks, 6\\\"" X 4\\\"", McBee Keysort 100+",13.5,2026-01-09,,,WorthPoint
gallium,"Muonionalusta Meteorite Pendant Amulet–Widmanstätten Pattern, 33×22×2.5mm. 14.1g",50,2026-01-09,14.1,3.55,WorthPoint
gallium,Gallium 99.99% Purity 97g In Test Tubes,99.99,2026-01-08,97,1.03,WorthPoint
gallium,13 Muonionalusta Slices And End Pieces Etched Total Weight 1468 Gms,3145,2026-01-05,1468,2.14,WorthPoint
gallium,Smithsonian CPU History Kilby Intel 4004 256 Bit RAM Z80 6502 MC68000 Apollo AGC,55,2026-01-04,,,WorthPoint
gallium,Meteorite And Display Cube 15.1 Gram Genuine Campo Del Cielo Meteorite With COA,44.99,2025-12-27,15.1,2.98,WorthPoint
gallium,Spektrum Accessories S100 1x100W USB-C Smart Charger 65W USB-C GaN Power Supp...,36.04,2025-12-25,,,WorthPoint
gallium,Pair Of Sphalerite Skulls Collectible Crystals Rare,44.99,2025-12-24,,,WorthPoint
gallium,LOT Of 2 Bowmar R7H-172-9B Optostic 7 Segment RED Hybrid COB LED Display 9 Digit,24.99,2025-12-21,,,WorthPoint
gallium,LOT Of 2 Bowmar R7H-172-9 Optostic 7 Segment RED Hybrid COB LED Display 9 Digit,24.99,2025-12-21,,,WorthPoint
gallium,LOT Of 2 Bowmar R7H-172-11B Optostic 7 Segment RED Hybrid COB Display 11 Digit,26.99,2025-12-21,,,WorthPoint
gallium,Spektrum SPMXPSS210 G2 Powerstage Bundle 2S Smart 50C LiPo Battery 810mAh IC2,79.99,2025-12-21,210,0.38,WorthPoint
gallium,Campo Del Cielo Genuine Iron Nickel Meteorite Pendant Necklace 6.51 Grams,22.27,2025-12-19,6.51,3.42,WorthPoint
gallium,Tin Metal Element 99.95% (3N5) Min Purity 50g Domes 50g-250g Sent 1st Class FREE,12.03,2025-12-16,50,0.24,WorthPoint
gallium,Meteorite And Display Cube 11.8 Gram Genuine Campo Del Cielo Meteorite With COA,37.99,2025-12-15,11.8,3.22,WorthPoint
gallium,Shimmering Dioptase Beauty From The Tsumeb Mine-Dioptase On & In Calcite,65,2025-12-14,,,WorthPoint
gallium,Spektrum Spektrum 65W USB-C GaN Power Supply - SPMX-1027,17.99,2025-12-13,,,WorthPoint
gallium,CPU Photo History Intel 8008 PACE Moore's Law TMS9900 Fairchild UA709 Bell Labs,55,2025-12-12,,,WorthPoint
gallium,Spektrum X-1027 65W USB-C GaN Power Supply,32.99,2025-12-11,,,WorthPoint
gallium,Tsumeb Mine Ghost Mottramite Included In Calcite W. Mottramite On Galena,54,2025-12-11,,,WorthPoint
gallium,Meteorite And Display Cube 7.0 Gram Genuine Campo Del Cielo Meteorite With COA,29.99,2025-12-10,7,4.28,WorthPoint
gallium,X262-351) 9+ G Campo Del Cielo Iron Meteorite 1576 Octahedrite Fragment Specimen,22.99,2025-12-09,,,WorthPoint
gallium,5pcs. ALS320A / АЛС320А Numitrons RED Indicator On Board PULLED,27.9,2025-12-09,,,WorthPoint
gallium,Spektrum SPMXC2090P S100 1x100W USB-C Smart Charger 65W USB-C Power Supply Combo,49.99,2025-12-08,,,WorthPoint
gallium,X-37b Orbital Test Vehicle Otv 3 Atlas V Boeing Ula Usaf Dod Space Plane Patch,14.95,2025-12-07,,,WorthPoint
gallium,Meteorite And Display Cube 7.1 Gram Genuine Campo Del Cielo Meteorite With COA,29.99,2025-12-05,7.1,4.22,WorthPoint
gallium,Meteorite And Display Cube 6.3 Gram Genuine Campo Del Cielo Meteorite With COA,34.99,2025-12-05,6.3,5.55,WorthPoint
