material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
gibeon-meteorite,Gibeon Meteorite,64,2026-01-15,,,WorthPoint
gibeon-meteorite,"Gibeon Meteorite, IVA Iron Meteorite, Namibia, Rare Meteorite, 5.25g",42.4,2026-01-14,5.25,8.08,WorthPoint
gibeon-meteorite,GIBEON Iron Meteorite Etched Carved Shape WIDMANSTATTEN Carving Jewelry,79.99,2025-12-27,,,WorthPoint
gibeon-meteorite,29 Gm Etched Gibeon Iron Meteorite Slab Museum Grade Ring Namibia Africa Jal,284.05,2025-12-22,29,9.79,WorthPoint
gibeon-meteorite,Gibeon Meteorite. Iron IVA 21.2 Grams. Awesome Shrapnel Piece. RARE!,95,2025-12-08,21.2,4.48,WorthPoint
gibeon-meteorite,Gibeon Iron Meteorite Carved Cabochon WIDMANSTATTEN Jewelry Wire-Wrap Carving,55.99,2025-12-07,,,WorthPoint
gibeon-meteorite,Brenham Pallasite Stardust Shavings / Crystals - 100% Pure & Natural,7,2025-12-03,,,WorthPoint
gibeon-meteorite,MUONIONALUSTA Iron Meteorite Carved Rectangle WIDMANSTATTEN Carving Jewelry,159.99,2025-11-30,,,WorthPoint
gibeon-meteorite,32 Gm Etched Gibeon Iron Meteorite Slab Museum Grade Ring Namibia Africa Jal,284.05,2025-11-30,32,8.88,WorthPoint
gibeon-meteorite,2.10 Grams GIBEON Iron METEORITE Whole Individual As Found In Africa 1836!,13.99,2025-11-24,2.1,6.66,WorthPoint
gibeon-meteorite,Gibeon Etched Meteorite Part Slice Weight 191.7 Grams 4.75 Inches,651.95,2025-11-22,191.7,3.4,WorthPoint
gibeon-meteorite,GIBEON Iron Meteorite Carved Star WIDMANSTATTEN Jewelry Wire-Wrap Carving,159.99,2025-11-13,,,WorthPoint
gibeon-meteorite,Natural History Auction Catalog Featuring Fossils Meteorites Dinosaurs Mineral,22,2025-11-07,,,WorthPoint
gibeon-meteorite,GIBEON Iron Meteorite Carved Shape WIDMANSTATTEN Carving Jewelry Wire Wrapping,127.99,2025-11-06,,,WorthPoint
gibeon-meteorite,1.12 Grams GIBEON Iron METEORITE Whole Individual As Found In Africa 1836!,6.99,2025-10-16,1.12,6.24,WorthPoint
gibeon-meteorite,GIBEON Iron Meteorite Carved Octagon WIDMANSTATTEN Carving Jewelry Wire Wrapping,119.99,2025-10-04,,,WorthPoint
gibeon-meteorite,146 Gm Etched Gibeon Iron Meteorite Quarter Cut Museum Grade Namibia Africa,989.1,2025-10-03,146,6.77,WorthPoint
gibeon-meteorite,"*METEORITE *JAPANESE Style TANTO,Big Piece Of GIBEON, Sterling Silver ,HAND MADE",2600,2025-09-26,,,WorthPoint
gibeon-meteorite,"GIBEON Meteorite Display Label, Aluminum",6.5,2025-09-22,,,WorthPoint
gibeon-meteorite,360 Gm Etched Gibeon Meteorite Thick Slab Museum Gde Ring Namibia Africa Jal,2249.1,2025-09-21,360,6.25,WorthPoint
gibeon-meteorite,Gibeon Meteorite Knife With Ironwood Handle Display & Box,1200,2025-09-11,,,WorthPoint
gibeon-meteorite,Gibeon Meteorite. Iron IVA 22.1 Grams. RARE! Nice Shrapnel Piece.,100,2025-09-08,22.1,4.52,WorthPoint
gibeon-meteorite,RARE GIBEON IRON METEORITE Fragment Complete Individual Specimen NAMIBIA AFRICA,31.99,2025-09-03,,,WorthPoint
gibeon-meteorite,"Gibeon Meteorite End Cut - 3,534.4 Grams",1250,2025-08-29,534.4,2.34,WorthPoint
gibeon-meteorite,"Gibeon Meteorite - 5,806 Grams",4750,2025-08-29,806,5.89,WorthPoint
gibeon-meteorite,"Gibeon Meteorite - 4,620.4 Grams",6250,2025-08-29,620.4,10.07,WorthPoint
gibeon-meteorite,"Gibeon Meteorite - 2,926.2 Grams",4500,2025-08-29,926.2,4.86,WorthPoint
gibeon-meteorite,Gibeon Meteorite - 49.5 Kilograms,50000,2025-08-29,,,WorthPoint
gibeon-meteorite,37 Gm Etched Gibeon Iron Meteorite Slab Museum Grade Ring Namibia Africa Jal,269.1,2025-08-22,37,7.27,WorthPoint
gibeon-meteorite,GIBEON Fragments 5 Grams,5,2025-08-21,5,1,WorthPoint
gibeon-meteorite,25 JAHRE EDITION OF BOKER METEORITE DAMASCUS FOLDING LOCKBACK In Collector Box,543,2025-08-18,,,WorthPoint
gibeon-meteorite,Gibeon Meteorite. Iron IVA 5.36 Grams. Unusual Shaped Etched Slice.,15,2025-08-11,5.36,2.8,WorthPoint
gibeon-meteorite,NIB Johan Starry Night Meteorite Pendant Necklace,28,2025-08-08,,,WorthPoint
gibeon-meteorite,William Henry - Pocket Knife - Galaxy,2750,2025-08-08,,,WorthPoint
gibeon-meteorite,"GIBEON METEORITE From Namibia - ONE OF A KIND - GREAT GIFT FOR MEN, WOMEN, KIDS!",50.01,2025-08-06,,,WorthPoint
gibeon-meteorite,"Natural History Auction Catalogue Featuring Meteorites, Dinosaurs, Fine Minerals",18,2025-08-03,,,WorthPoint
gibeon-meteorite,2- Small Gibeon Meteorite Knives,86.1,2025-08-02,,,WorthPoint
gibeon-meteorite,32 Gm Etched Gibeon Iron Meteorite End Piece Museum Grade Ring Namibia Africa,239.1,2025-07-30,32,7.47,WorthPoint
gibeon-meteorite,1.80 Grams GIBEON ~ Iron METEORITE ~ Whole Individual As Found In Africa 1836!,6.99,2025-07-19,1.8,3.88,WorthPoint
gibeon-meteorite,S.T. DuPont Limited Ed. Phoenix Renaissance Premium Edition. Slightly Used,230,2025-07-08,,,WorthPoint
gibeon-meteorite,130 Gm Etched Gibeon Iron Meteorite Slice Museum Grade Namibia Africa,881.1,2025-06-30,130,6.78,WorthPoint
gibeon-meteorite,96 Gm Etched Gibeon Iron Meteorite Half Slice Museum Grade Namibia Africa,629.1,2025-06-29,96,6.55,WorthPoint
gibeon-meteorite,173 Gm Etched Gibeon Iron Meteorite Slice Museum Grade Namibia Africa,1169.1,2025-06-20,173,6.76,WorthPoint
gibeon-meteorite,196 Gm Etched Gibeon Iron Meteorite Slice Museum Grade Namibia Africa,1331.1,2025-06-20,196,6.79,WorthPoint
gibeon-meteorite,126 Gm Etched Gibeon Iron Meteorite Slice Museum Grade Namibia Africa,863.1,2025-06-20,126,6.85,WorthPoint
gibeon-meteorite,Gibeon Meteorite 404 Grams Museum Quality With COA,1000,2025-05-29,404,2.48,WorthPoint
gibeon-meteorite,76 Gm Etched Gibeon Iron Meteorite Half Slice Museum Grade Namibia Africa,494.1,2025-05-19,76,6.5,WorthPoint
gibeon-meteorite,Gibeon Meteorite Slice 7.83 Grams - Namibia-found 1836- See Card,20,2025-05-11,7.83,2.55,WorthPoint
gibeon-meteorite,90 Gm Etched Gibeon Iron Meteorite Quarter Cut Museum Grade Namibia Africa,645.05,2025-05-02,90,7.17,WorthPoint
gibeon-meteorite,Gibeon Meteorite Skull,3250,2025-04-23,,,WorthPoint
gibeon-meteorite,Gibeon Meteorite Sphere - 426.5 Grams,3500,2025-04-23,426.5,8.21,WorthPoint
gibeon-meteorite,Gibeon Meteorite End Cut - 526.6 Grams,1500,2025-04-23,526.6,2.85,WorthPoint
