material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
impact-spherules,"ALAMO, NEVADA, USA IMPACTITE, Impact Melt With Spherules, 288-grams, 10.2-oz.",34.95,2026-01-03,288,0.12,WorthPoint
impact-spherules,.149 Gram Micro Fragments NWA 1068 MARTIAN Shergottite Mars Meteorite With A COA,39.99,2025-12-29,149,0.27,WorthPoint
impact-spherules,Cretaceous-Tertiary (K/T) Boundary From France - Cretaceous/Paleogene Extinction,12.5,2025-12-21,,,WorthPoint
impact-spherules,NWA 13475 L5 Melt Breccia Chondrite Meteorite 21.3 Gram Slice,21.5,2025-12-20,21.3,1.01,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 5.56g, Meteorite Discounted, Buried Sample",100,2025-12-19,5.56,17.99,WorthPoint
impact-spherules,NWA 13475 L5 Melt Breccia Chondrite Meteorite 10.6 Gram Slice,10.51,2025-12-10,10.6,0.99,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia) 2.04g Meteorite Polished Face, Surface Sample",73,2025-12-09,2.04,35.78,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia) 2.06g Meteorite From Moon, Surface Collected",61,2025-12-03,2.06,29.61,WorthPoint
impact-spherules,"TWENTY DIFFERENT IMPACTITES From ALL OVER Weigh 866-grams, (One-lb., 14.5-oz.)",95,2025-12-03,866,0.11,WorthPoint
impact-spherules,"Twenty-one IMPACTITES From ALL OVER The WORLD, Weigh 467-grams (one-pound) Set 2",95,2025-11-24,467,0.2,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 1.5g, Meteorite Discounted, Buried Sample",18,2025-11-09,1.5,12,WorthPoint
impact-spherules,"Twenty-Eight IMPACTITE ROCKS From ALL OVER The WORLD, Weight Over One-Kilo ( 2#)",127.5,2025-11-09,,,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia) 4.3g Meteorite Polished Face, Surface Sample",154,2025-11-06,4.3,35.81,WorthPoint
impact-spherules,"Twenty-Eight, Two Kilos IMPACT ROCKS Best Ever Offered From ALL OVER The WORLD",200,2025-10-17,,,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia) 1.39g Meteorite From Moon, Surface Collected",41,2025-10-17,1.39,29.5,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 2.74g, Meteorite As Found, Buried Sample",65,2025-10-12,2.74,23.72,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia) 0.78g Meteorite From Moon, Surface Collected",24,2025-10-05,0.78,30.77,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 2.47g, Meteorite Polished Face, Buried Sample",75,2025-10-04,2.47,30.36,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia) 4.05g Lot Of 8 Meteorites , Surface Samples",120,2025-10-03,4.05,29.63,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 0.5g, Meteorite Polished Face, Buried Sample",18,2025-10-03,0.5,36,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 0.72g, Meteorite Special Note- Discounted",16,2025-10-03,0.72,22.22,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 0.8g, Meteorite Polished Face, Buried Sample",24,2025-09-30,0.8,30,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 2.26g, Meteorite Polished Face, Buried Sample",68,2025-09-20,2.26,30.09,WorthPoint
impact-spherules,"NWA 16520, Lunar (frag. Breccia), 0.53g, Meteorite Polished Face, Buried Sample",18,2025-09-05,0.53,33.96,WorthPoint
impact-spherules,.095 Grams Micros NWA 1068 Martian Shergottite Meteorite Fragments From Mars COA,9.99,2025-08-29,95,0.11,WorthPoint
impact-spherules,Barberton Greenstone Belt Rock Collection,295,2025-08-15,,,WorthPoint
impact-spherules,.047 Grams 3x3x2mm Fragment Of NWA 1068 MARTIAN SHERGOTTITE METEORITE From Mars,5.99,2025-04-23,47,0.13,WorthPoint
impact-spherules,#6 MOON LUNAR METEORITE - 36.00 Grams - Feldspathic Breccia - NWA 11828,900,2025-02-20,36,25,WorthPoint
impact-spherules,.037 Grams 4x2x2mm Fragment Of NWA 1068 MARTIAN SHERGOTTITE METEORITE From Mars,5.99,2024-12-12,37,0.16,WorthPoint
impact-spherules,Cosmogenic Silicide Spherules (Set Of 3),37500,2024-11-20,,,WorthPoint
impact-spherules,"Paperback: A Comet Strikes The Earth, Nininger, 1946, With Meteorite Specimen",70,2024-11-17,,,WorthPoint
impact-spherules,.036 Grams 4x3x2mm Fragment Of NWA 1068 MARTIAN SHERGOTTITE METEORITE From Mars,5.99,2024-10-18,36,0.17,WorthPoint
impact-spherules,.038 Grams 4x2x2mm Fragment Of NWA 1068 MARTIAN SHERGOTTITE METEORITE From Mars,5.49,2024-10-11,38,0.14,WorthPoint
impact-spherules,Asteroid Impact Libyan Desert Glass Ring Vintage Art Deco Period Sterling S 5.75,119.95,2024-09-06,,,WorthPoint
impact-spherules,#9 MOON LUNAR METEORITE - 37.99 Grams - Feldspathic Breccia - NWA 11828,850,2024-09-01,37.99,22.37,WorthPoint
impact-spherules,#4 MOON LUNAR METEORITE -38.80 Grams - Feldspathic Breccia - NWA 11828,850,2024-08-21,38.8,21.91,WorthPoint
impact-spherules,"Chicxulub ""Extinction Rock"" Asteroid Impact Beloc, Haiti Microslide",135,2024-05-08,,,WorthPoint
impact-spherules,0.679g MONTURAQUI IMPACTITE W/COA - CRATER FORMING EVENT - Atacama Desert Chile,15,2024-02-14,0.679,22.09,WorthPoint
impact-spherules,#55 LUNAR METEORITE NWA 11828 - 2.01 Gr - Feldspathic Breccia With FeNi Metal,50,2024-01-31,2.01,24.88,WorthPoint
impact-spherules,1.095g MONTURAQUI IMPACTITE W/COA - CRATER FORMING EVENT - Atacama Desert Chile,20,2024-01-28,1.095,18.26,WorthPoint
impact-spherules,#7 MOON LUNAR METEORITE - 33.66 Grams - Feldspathic Breccia - NWA 11828,700,2024-01-08,33.66,20.8,WorthPoint
impact-spherules,0.480g MONTURAQUI IMPACTITE W/COA - CRATER FORMING EVENT - Atacama Desert Chile,13,2024-01-07,0.48,27.08,WorthPoint
impact-spherules,"Rare Nwa 11220 Martian Black Beauty Meteorite Part Slice In Display Box, Xl!!!!!",269,2023-12-21,,,WorthPoint
impact-spherules,Cosmogenic Silicide Spherules (Set Of 4),42500,2023-11-10,,,WorthPoint
impact-spherules,Cosmogenic Silicide Spherule,6875,2023-11-10,,,WorthPoint
impact-spherules,"A Large, Oriented Sikhote-Alin Meteorite 722 Grams",6790,2023-10-20,722,9.4,WorthPoint
impact-spherules,"22 Different Asteroid And Comet IMPACTITES, 1.16-kilos, 2 1/2-lbs. Of Fine Rocks",48.89,2023-09-30,,,WorthPoint
impact-spherules,#61 MOON - Lunar Meteorite - 1.96 Grams - NWA 11828,50,2023-09-18,1.96,25.51,WorthPoint
impact-spherules,"Chicxulub ""Extinction Rock"" Asteroid Impact - Beloc, Haiti Microslide",125,2023-08-22,,,WorthPoint
impact-spherules,"Almahata Sitta, .75 Gram Slice, Meteorite. Ureilite-AN",435,2023-07-30,75,5.8,WorthPoint
impact-spherules,#72 - MOON Lunar Meteorite - 1.85 Grams - NWA 11828,48,2023-07-06,1.85,25.95,WorthPoint
impact-spherules,ALMAHATA SITTA - 1st Meteorite Tracked By NASA Observed Witnessed Fall 2008 .15g,150,2023-01-05,15,10,WorthPoint
impact-spherules,#40B2 MOON LUNAR METEORITE 45.74 G Feldspathic Breccia W/metal NWA 11828,1600,2022-12-29,45.74,34.98,WorthPoint
impact-spherules,#79 GIVE THEM THE MOON - Lunar Meteorite - 1.14 Grams - NWA 11828,39.9,2022-12-15,79,0.51,WorthPoint
impact-spherules,#62 GIVE THEM THE MOON - Lunar Meteorite - 2.36 Grams - NWA 11828,82.6,2022-12-11,62,1.33,WorthPoint
