material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
indochinite-tektite,15g Tektite Meteorite Natural Stone Cosmic Energy Protection Lucky Charm,24.98,2026-01-19,15,1.67,WorthPoint
indochinite-tektite,Indochinite Tektite,84,2026-01-15,,,WorthPoint
indochinite-tektite,Tektite Indochinite Space Rock Impactite Meteorite Impact Stone Gems 144 Gm Lot,45,2026-01-04,144,0.31,WorthPoint
indochinite-tektite,"Moldavite 3.0 Grams, Indochinite 1.36grams,Libyan 3.9 Grams Copper Pendant",150,2025-12-29,3,50,WorthPoint
indochinite-tektite,"18.5g Natural Indochinite Tektite Space Rock Impact Glass, 2 Pcs.",14,2025-12-28,18.5,0.76,WorthPoint
indochinite-tektite,"""r365-10) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-12-20,,,WorthPoint
indochinite-tektite,"""cool Concavity : Indochina Tektite ("""" Indochinite""""); Awesome Formation, China""",10,2025-12-20,,,WorthPoint
indochinite-tektite,Tektite From THAILAND 52 Grams Thailandite - Domed Disc Shape,7.16,2025-12-19,52,0.14,WorthPoint
indochinite-tektite,310g LOT INDONESIAN INDOCHINITE TEKTITES LAVA Meteorite STONE TEKTITE,55,2025-12-13,310,0.18,WorthPoint
indochinite-tektite,Tektite From THAILAND 9.2 Grams Thailandite From The Dirk Ross Collection ANDA??,13.2,2025-12-10,9.2,1.43,WorthPoint
indochinite-tektite,"""""""tooth-like """" Indochina Tektite ("""" Indochinite""""); Awesome Formation, China""",7,2025-12-07,,,WorthPoint
indochinite-tektite,TEKTITE METEORITE PIECE METEOR STONE SPACE ROCK ASTEROID INDOCHINITE SHARD 5g,7.95,2025-12-06,5,1.59,WorthPoint
indochinite-tektite,Tektite Meteorite Large Impact Fragment Piece Big Space Rock Asteroid Specimen,22.95,2025-12-05,,,WorthPoint
indochinite-tektite,"TWENTY DIFFERENT IMPACTITES From ALL OVER Weigh 866-grams, (One-lb., 14.5-oz.)",95,2025-12-03,866,0.11,WorthPoint
indochinite-tektite,"""(r365-56) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-11-29,,,WorthPoint
indochinite-tektite,Western Australia Indochinites Meteorites Tektites .5 Oz,12.99,2025-11-27,141.75,0.09,WorthPoint
indochinite-tektite,"Philippinite Tektite 43.14g Subtly Grooved Biscuit, Made By Meteorite Impactite",33,2025-11-26,43.14,0.76,WorthPoint
indochinite-tektite,Indochinite Tektite From China- 7.2 Gram- Australasian Impact- TA10,12,2025-11-25,7.2,1.67,WorthPoint
indochinite-tektite,"Moldavite 3.9 Grams, Indochinite 3.5 Grams & Libyan 4.5 Grams Pendant & Necklace",160,2025-11-22,3.9,41.03,WorthPoint
indochinite-tektite,INDOCHINITE TEKTITE Meteorite Impact Impactite Nodule Gemstone GUANGDONG CHINA,19.99,2025-11-20,,,WorthPoint
indochinite-tektite,Tektite Var. Indochinite / China / Mineral Specimen,11.99,2025-11-15,,,WorthPoint
indochinite-tektite,"24.9g Natural Indochinite Tektite Space Rock Impact Glass Specimen, 1 Pc.",15,2025-11-09,24.9,0.6,WorthPoint
indochinite-tektite,"Tektite - Indochinite From Thailand, 6.3 Grams",15,2025-11-05,6.3,2.38,WorthPoint
indochinite-tektite,Indochinite Tektite Meteorite Impact Glass Formations,15.95,2025-11-04,,,WorthPoint
indochinite-tektite,"""(r365-55) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-10-26,,,WorthPoint
indochinite-tektite,69.60 Gram - Large TEKTITE (METEORITE / Indochinite) Specimen - From Thailand,39,2025-10-16,69.6,0.56,WorthPoint
indochinite-tektite,Combined Listing Nine Items,1200,2025-10-07,,,WorthPoint
indochinite-tektite,18.13 Gram - Small TEKTITE (METEORITE / Indochinite) Specimen - From Thailand,9.99,2025-10-05,18.13,0.55,WorthPoint
indochinite-tektite,84.72 Gram - Large TEKTITE (METEORITE / Indochinite) Specimen - From Thailand,40,2025-10-05,84.72,0.47,WorthPoint
indochinite-tektite,"""(R399-17-1) 4"""" Fossil Fulgurite Petrified Lightning Strike Beach Sand Glass GA""",26.99,2025-09-30,,,WorthPoint
indochinite-tektite,50g+ Indochinite Tektite Meteorite Impact Glass Formations,20.95,2025-09-29,50,0.42,WorthPoint
indochinite-tektite,110.24 Gram - Large TEKTITE (METEORITE / Indochinite) Specimen - From Thailand,50,2025-09-18,110.24,0.45,WorthPoint
indochinite-tektite,102.00 Gram - Large TEKTITE (METEORITE / Indochinite) Specimen - From Thailand,55,2025-09-18,102,0.54,WorthPoint
indochinite-tektite,106.76 Gram - Large TEKTITE (METEORITE / Indochinite) Specimen - From Thailand,50,2025-09-18,106.76,0.47,WorthPoint
indochinite-tektite,Udon Thani Thailand TEKTITE Meteorite Impactite Indochinite,18,2025-09-02,,,WorthPoint
indochinite-tektite,"""r365-13) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
indochinite-tektite,"""r365-11) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
indochinite-tektite,Indochinite Tektite ~ Meteorite Impact ~ 54 Gram ~ Perfect Dumbbell Shape ~ 70mm,165,2025-08-30,54,3.06,WorthPoint
indochinite-tektite,ONE LB. (451-gr.) FOURTEEN Different IMPACTITES From ALL OVER The WORLD,45,2025-08-27,451,0.1,WorthPoint
indochinite-tektite,38.4g Indochinite Tektite Tear Drop Rain Drop Impactite Meteorite Crystal Gem,22,2025-08-16,38.4,0.57,WorthPoint
indochinite-tektite,"""elliptical Shaped Indochina Tektite ("""" Indochinite""""); Awesome Formation""",7.95,2025-08-14,,,WorthPoint
indochinite-tektite,52.27 Gram - Large TEKTITE (METEORITE / Indochinite) Specimen - From Thailand,30,2025-08-13,52.27,0.57,WorthPoint
indochinite-tektite,Indochinite Tektite Spiral Space Rock Impact 32 Gram,19.99,2025-08-10,32,0.62,WorthPoint
indochinite-tektite,"""(r364-118) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2025-08-03,,,WorthPoint
indochinite-tektite,Indochinite Tektite LARGE Dumbbell Shaped From Vietnam 125 Grams,70,2025-07-31,125,0.56,WorthPoint
indochinite-tektite,"""r365-1) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-07-27,,,WorthPoint
