material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
iridium,Kershaw 2038 Iridium Folding Pocket Knife Duralock D2 Plain Blade Grey Handle- -,34.99,2026-01-24,,,WorthPoint
iridium,"Laban Taroko Fountain Pen, Autumn Red, Medium Nib",50,2026-01-23,,,WorthPoint
iridium,Meteorite And Display Cube 6.8 Gram Genuine Campo Del Cielo Meteorite With COA,29.99,2026-01-23,6.8,4.41,WorthPoint
iridium,Vintage FOUNTAIN PEN Iridium Point GERMANY Black & Gold Trim,34.99,2026-01-23,,,WorthPoint
iridium,"Kershaw Iridium Folding Knife 3.5\\\"" D2 Tool Steel Blade Gray Aluminum Handle 2038",49.99,2026-01-23,,,WorthPoint
iridium,Vintage Gama Jumbo Ebonite Commander Black Golden Trim Fountain Pen,125,2026-01-23,,,WorthPoint
iridium,LABAN Iridium Fountain Pen Black BEAUTIFUL Ornate,46,2026-01-23,,,WorthPoint
iridium,Vintage 1930’s Barbasol Floating Head Safety Razor Set /Two-Piece/88 Grams,104.95,2026-01-23,88,1.19,WorthPoint
iridium,Gillette Fat Boy Adjustable F4 1960 VTG DE Safety Razor,75,2026-01-22,,,WorthPoint
iridium,"\\\""Mint\\\"" Laban Fountain Pen, Black & Pearl Model W/Platinum Plated Cap, Medium Nib",49.95,2026-01-22,,,WorthPoint
iridium,Vintage Conway Stewart 58 Fountain Pen - Executive Jet Black - Superb Condition,194.61,2026-01-22,,,WorthPoint
iridium,10 Fountain Pen Nibs For Parts - Multiple Pen Makers -Still On Barrels,30,2026-01-21,,,WorthPoint
iridium,Parts Vintage Parker Lady Duofold Ring Top Fountain Pen Moderne Black And Pearl,35,2026-01-21,,,WorthPoint
iridium,"Sheaffer Valiant Snorkel Fountain Pen, Black With Gold Plate. Nib #5. (s1129)",79,2026-01-21,,,WorthPoint
iridium,2024 Breyer Horses Freedom ELEMENTS Series IRIDIUM Metal Silver Model NEW +BOX,22,2026-01-21,,,WorthPoint
iridium,Kershaw Mini Iridium,35,2026-01-21,,,WorthPoint
iridium,Large Muonionalusta Meteorite Slice Slab Etched 100 Gms Sweden Stand Rings,236.55,2026-01-21,100,2.37,WorthPoint
iridium,Parker 45 Uk Made & Borghini Iridium Point Fountain Pens (vintage),28,2026-01-21,,,WorthPoint
iridium,Onishi Seisakusho Celluloid Sckmidt Iridium Fountain Pen Marble Used,100.6,2026-01-21,,,WorthPoint
iridium,Large Muonionalusta Meteorite Slice Etched 141 Gms Sweden Stand Rings,331.55,2026-01-21,141,2.35,WorthPoint
iridium,Review Highlights,35,2026-01-21,,,WorthPoint
iridium,Kershaw Iridium 2038R Pocket Knife Dura Lock Plain Edge Blade D2,36,2026-01-21,,,WorthPoint
iridium,Vintage De La Rue Own Brand Fountain Pen -the Chatsworth Pen - B.c.h.r - C1922,167.82,2026-01-21,,,WorthPoint
iridium,New Jinhao 9036 Fountain Pen Natural Wood Oak Fine Iridium Nib Writing Gold,18,2026-01-20,,,WorthPoint
iridium,2005 Hot Wheels Acceleracers Silencerz Lot Of 9 Cars (Incl. Hyperpod),200,2026-01-20,,,WorthPoint
iridium,Mia Asano Ally The Piper Viral Hits 2023 CD Bagpipes Fiddle Rock,10,2026-01-20,,,WorthPoint
iridium,SEYMCHAN IRON METEORITE Specimen PALLASITE Etched Triangle Carving RUSSIA,64.99,2026-01-20,,,WorthPoint
iridium,Vintage Parker Duofold Lucky Curve Senior 0/s Fountain Pen - Boxed - Big Red,342.88,2026-01-20,,,WorthPoint
iridium,NASA Iridium 13th Launch Motorola Satellite Gold Tone Lapel Pin,17,2026-01-20,,,WorthPoint
iridium,Kershaw Iridium DuraLock D2 Blade Folding Knife 2038,35.48,2026-01-20,,,WorthPoint
iridium,Eberhard Faber Permapoint Lever Fill Gray Snakeskin & Yellow Bands Fountain Pen,37.99,2026-01-19,,,WorthPoint
iridium,"Sheaffer \\\""3-25\\\"" Fountain Pen & Mechanical Pencil Set; Cap Not Secure; No Dot",24.06,2026-01-19,,,WorthPoint
iridium,Conklin Glider Marbled Blue Advertising Fountain Pen With Iridium Point M Nib,19.95,2026-01-19,,,WorthPoint
iridium,Kershaw Knives Iridium DuraLock 2038 KVT D2 Steel Pocket Knife,40,2026-01-19,,,WorthPoint
iridium,Set Of 6 Ignition Coil Pack & Iridium Spark Plugs Compatible With 3.0L V6,35,2026-01-19,,,WorthPoint
iridium,Esterbrook Fountain Pen Nib 9128 Fine Stub Master Duracrome Renew Point NOS,49.99,2026-01-19,,,WorthPoint
iridium,Caran D'Ache Montefiore Cartier Ballpoint Fountain Pens Box Lot Of 5 #M1234-4,256,2026-01-18,,,WorthPoint
iridium,Jean Pierre Lepine Winston Fountain Pen:Silver+Gold Tone:Nib+ Cartridges:Vintage,190,2026-01-18,,,WorthPoint
iridium,Vintage L'Plume Navy GT Large Fountain Pen Iridium Nib In A Pouch,24.05,2026-01-18,,,WorthPoint
iridium,Bolvaint Aeneid Fountain Pen,69,2026-01-18,,,WorthPoint
iridium,Vintage Esterbrook Relief 3-s Conway Stewart Made Fountain Pen - Rare - C1935,328.28,2026-01-18,,,WorthPoint
iridium,Iridium Alloy Contains Palladium Rhodium Trace Amounts Gold Ruthenium 50 Grams,2100,2026-01-18,50,42,WorthPoint
iridium,PARKER Lucky Curve Jack Knife Fountain Pen Lapis Blue 14K Nib W/ Iridium Tip,119.99,2026-01-18,,,WorthPoint
iridium,Large Muonionalusta Meteorite Triple Cut Etched 191 Gms Sweden Stand Rings,474.05,2026-01-18,191,2.48,WorthPoint
iridium,"Vintage \\\"" The Spot \\\"" Fountain Pen 14ct Nib. Lever Fill With Box & Instructions",60.3,2026-01-18,2.8,21.54,WorthPoint
iridium,VINTAGE CONWAY STEWART No 388 FOUNTAIN PEN - NEAR MINT - MARBLE DESIGN - C1945,154.09,2026-01-18,,,WorthPoint
iridium,3 Piece Knife Lot - Kershaw & CRKT,50,2026-01-17,,,WorthPoint
iridium,"Kershaw Mini Iridium Folding Knife 3\\\"" Bronze",52,2026-01-17,,,WorthPoint
iridium,Grainmint- 1/10 Grain *Rhodium Iridium Osmium Ruthenium Palladium Gold Platinum*,26,2026-01-17,10,2.6,WorthPoint
iridium,Scalextric C2802 Ford Focus RS WRC 2006 Gronholm No. 3 BP Ultimate BNIB,102.15,2026-01-17,2006,0.05,WorthPoint
iridium,NEW Kershaw Iridium Red Aluminum D2 Manual Opening Pocket Knife 2038RD Rare Red,38,2026-01-16,,,WorthPoint
iridium,Vintage Senator Steno Fountain Pen - Piston Filler - Teal / Chrome - GERMANY,24.12,2026-01-16,,,WorthPoint
iridium,Gillette Fat Boy Adjustable G2 1961 VTG DE Safety Razor,125,2026-01-16,,,WorthPoint
