material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
kt-boundary,Rare KT Boundary Material - Montana - KT-0363 - 7.80g - Rare Buchite - End Cut,11.95,2026-01-16,7.8,1.53,WorthPoint
kt-boundary,"KT Boundary Sample From Canada...the \\\""Dinosaur Destruction\\\"" Evidence?",22,2026-01-08,,,WorthPoint
kt-boundary,Redl Factory Vienna Bronze Mouse On Of Gold Thread Thimble Holder 14 Kt . Gold,39.99,2025-12-22,,,WorthPoint
kt-boundary,Rare KT Boundary Material - Montana - KT-0344 - 7.73g - Rare Buchite - Slice,11.95,2025-12-14,7.73,1.55,WorthPoint
kt-boundary,Rare KT Boundary Material - Montana - KT-0359 - 8.16g - Rare Buchite - Slice,12.95,2025-12-01,8.16,1.59,WorthPoint
kt-boundary,Cretaceous KT KP Boundary Hell Creek Charcoal & 5 Microtektites Spheroid Display,19.82,2025-11-30,,,WorthPoint
kt-boundary,Rare KT Boundary Material - Glendive Montana Area - New Glass Vial - Fragments,9.95,2025-11-24,,,WorthPoint
kt-boundary,Rare KT Boundary Material - Montana Area - KT-0299 - 5.18g - Rare Buchite/Slice,7.95,2025-11-20,5.18,1.53,WorthPoint
kt-boundary,Rare KT Boundary Material - Glendive Montana Area - M-4827 - Vial - Fragments,9.95,2025-11-05,,,WorthPoint
kt-boundary,"""nevada Landing Casino Jean Nv $40 """"riverboat"""" .999 Silver/24 Kt Hge Gaming Token""",69.99,2025-11-04,,,WorthPoint
kt-boundary,Rare KT Boundary Material - Montana - KT-0361 - 7.95g - Rare Buchite - Slice,11.95,2025-11-03,7.95,1.5,WorthPoint
kt-boundary,Rare KT Boundary Material - Montana - KT-0368 - 9.72g - Rare Buchite - Slice,14.95,2025-11-03,9.72,1.54,WorthPoint
kt-boundary,Rare KT Boundary Material - Glendive Montana Area - M-4826 - Vial - Fragments,9.95,2025-11-03,,,WorthPoint
kt-boundary,Cretaceous KT KP Boundary Hell Creek BURN LAYER CHARCOAL 5 Pieces In Display X1,26.21,2025-11-02,,,WorthPoint
kt-boundary,Cretaceous KT Boundary KP Clay Collection 6 Sites Iridium Burn End Of Dinosaurs,65.53,2025-11-01,,,WorthPoint
kt-boundary,Rare KT Boundary Material - Montana - KT-0301 - 4.01g - Rare Buchite - Slice,5.95,2025-10-30,4.01,1.48,WorthPoint
kt-boundary,Rare KT Boundary Material - Glendive Montana Area - Vial Full Bubble - Fragments,9.95,2025-10-16,,,WorthPoint
