material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
libyan-desert-glass,Libyan Desert Glass Meteorite Tektite Impact Stone 77gm 385ct Dimples Rare Gem,27,2026-01-23,77,0.35,WorthPoint
libyan-desert-glass,Libyan Desert Glass Meteorite Tektite Impact Stone 44gm 220ct Dimples Rare Gem,33,2026-01-23,44,0.75,WorthPoint
libyan-desert-glass,Libyan Desert Glass Meteorite Tektite Impact Stone 40.3gm 201ct Dimples Rare Gem,15.5,2026-01-23,40.3,0.38,WorthPoint
libyan-desert-glass,Libyan Desert Glass Meteorite Tektite Impact Stone 56.2gm 281ct Dimples Rare Gem,25,2026-01-23,56.2,0.44,WorthPoint
libyan-desert-glass,Libyan Desert Glass Meteorite Tektite Impact Stone 56gm 280ct Dimples Rare Gem,18.5,2026-01-23,56,0.33,WorthPoint
libyan-desert-glass,41G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,28,2026-01-23,41,0.68,WorthPoint
libyan-desert-glass,70G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,23.5,2026-01-23,70,0.34,WorthPoint
libyan-desert-glass,104G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,32,2026-01-23,104,0.31,WorthPoint
libyan-desert-glass,66G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,26,2026-01-23,66,0.39,WorthPoint
libyan-desert-glass,52G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,17.5,2026-01-23,52,0.34,WorthPoint
libyan-desert-glass,69G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,21.5,2026-01-23,69,0.31,WorthPoint
libyan-desert-glass,47G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,27,2026-01-23,47,0.57,WorthPoint
libyan-desert-glass,140G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,21,2026-01-23,140,0.15,WorthPoint
libyan-desert-glass,88G Libyan Desert Glass Meteorite Tektite Impact Specimen Dimples Gem AAAA,16,2026-01-23,88,0.18,WorthPoint
