material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
muonionalusta-meteorite,22.55Ct Muonionalusta Meteorite Pendant Catarinite Meteorite Pendant Necklace,8.51,2026-01-23,4.51,1.89,WorthPoint
muonionalusta-meteorite,44.1Ct Muonionalusta Meteorite Pendant Catarinite Meteorite Pendant Necklace,16,2026-01-23,8.82,1.81,WorthPoint
muonionalusta-meteorite,76.1 G Swedish Muonionalusta Iron Meteorite,118,2026-01-23,76.1,1.55,WorthPoint
muonionalusta-meteorite,"Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite 13G",10.5,2026-01-23,13,0.81,WorthPoint
muonionalusta-meteorite,16Ct Muonionalusta Meteorite Pendant Catarinite Meteorite Pendant Necklace,9.87,2026-01-22,3.2,3.08,WorthPoint
muonionalusta-meteorite,51.6Ct Muonionalusta Meteorite Pendant Catarinite Meteorite Pendant Necklace,9.19,2026-01-22,10.32,0.89,WorthPoint
muonionalusta-meteorite,18.9Ct Muonionalusta Meteorite Pendant Catarinite Meteorite Pendant Necklace,8.51,2026-01-22,3.78,2.25,WorthPoint
muonionalusta-meteorite,20PCS Muonionalusta Iron Meteorite Pendant Diameter 22mm All In Photo LZ045,37,2026-01-22,,,WorthPoint
muonionalusta-meteorite,Large Muonionalusta Meteorite Slice Slab Etched 100 Gms Sweden Stand Rings,236.55,2026-01-21,100,2.37,WorthPoint
muonionalusta-meteorite,Large Muonionalusta Meteorite Slice Etched 141 Gms Sweden Stand Rings,331.55,2026-01-21,141,2.35,WorthPoint
muonionalusta-meteorite,790g Muonionalusta Iron Meteorite Slice Ironwork Forging Materials,276,2026-01-19,790,0.35,WorthPoint
muonionalusta-meteorite,770g Muonionalusta Iron Meteorite Slice Ironwork Forging Materials,269,2026-01-19,770,0.35,WorthPoint
muonionalusta-meteorite,980g Muonionalusta Iron Meteorite Slice Ironwork Forging Materials,398,2026-01-19,980,0.41,WorthPoint
muonionalusta-meteorite,"21G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",12.5,2026-01-19,21,0.6,WorthPoint
muonionalusta-meteorite,Large Muonionalusta Meteorite Triple Cut Etched 191 Gms Sweden Stand Rings,474.05,2026-01-18,191,2.48,WorthPoint
muonionalusta-meteorite,30PCS Muonionalusta Iron Meteorite Pendant All In Photo LZ054,22.5,2026-01-18,,,WorthPoint
muonionalusta-meteorite,50PCS Muonionalusta Iron Meteorite Pendant All In Photo LZ056,20.5,2026-01-17,,,WorthPoint
muonionalusta-meteorite,"35G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",15.5,2026-01-17,35,0.44,WorthPoint
muonionalusta-meteorite,"13G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",10.39,2026-01-17,13,0.8,WorthPoint
muonionalusta-meteorite,"29G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",16.5,2026-01-17,29,0.57,WorthPoint
muonionalusta-meteorite,"22G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",15.5,2026-01-17,22,0.7,WorthPoint
muonionalusta-meteorite,"40G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",18.5,2026-01-17,40,0.46,WorthPoint
muonionalusta-meteorite,"17G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",10.5,2026-01-17,17,0.62,WorthPoint
muonionalusta-meteorite,"20G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",16.01,2026-01-17,20,0.8,WorthPoint
muonionalusta-meteorite,"205G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",51,2026-01-17,205,0.25,WorthPoint
muonionalusta-meteorite,25PCS Muonionalusta Iron Meteorite Round Dia 15mm Pendant All In Photo LZ119,29,2026-01-17,,,WorthPoint
muonionalusta-meteorite,40PCS Muonionalusta Iron Meteorite Pendant All In Photo LZ026,70,2026-01-17,,,WorthPoint
muonionalusta-meteorite,98.3g Muonionalusta Iron Meteorite Material Slice Cuboid Cut--form Sweden,41,2026-01-16,98.3,0.42,WorthPoint
muonionalusta-meteorite,Large 2206 Gm Muonionalusta Iron Meteorite Aaa Grade 5 Lbs Jal Sweden,2969.1,2026-01-16,2206,1.35,WorthPoint
muonionalusta-meteorite,"1160 Gm Muonionalusta Meteorite Sweden, 2.55 Lb Iron Nickel BEAUTIFUL JAL",275,2026-01-14,1160,0.24,WorthPoint
muonionalusta-meteorite,"14G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",23.5,2026-01-14,14,1.68,WorthPoint
muonionalusta-meteorite,"18G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",13.5,2026-01-12,18,0.75,WorthPoint
muonionalusta-meteorite,"16G Muonionalusta Meteorite Square, Etched&polished, Swedish M Iron Meteorite",20.5,2026-01-12,16,1.28,WorthPoint
