material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
nwa-lunar-meteorite,Northwest Africa 16101 L3 Primitive Chondrite Meteorite With Visible Metal 15.3g,11.5,2026-01-22,15.3,0.75,WorthPoint
nwa-lunar-meteorite,NWA 2932 Mesosiderite Meteorite 4.4 Gram Windowed Showing Gleaming Metal,31,2026-01-22,4.4,7.05,WorthPoint
nwa-lunar-meteorite,NWA 13866 L6 Chondrite Meteorite 16.6 Gram Part Slice,13.5,2026-01-22,16.6,0.81,WorthPoint
nwa-lunar-meteorite,NWA 15335 R3 Primitive Rumuruti Meteorite 6.6 Gram Part Slice,36,2026-01-22,6.6,5.45,WorthPoint
nwa-lunar-meteorite,"4 Mars & Moon Rock Sets, Meteorite Displays W/ Authenticity Cards",250,2026-01-21,,,WorthPoint
nwa-lunar-meteorite,Lunar Meteorite NWA 17826 - Troctolite Melt Breccia,23.1,2026-01-20,,,WorthPoint
nwa-lunar-meteorite,"Kialara Silver Unloaded (Unfunded) ""To The Moon"" 2 Bitcoin (BTC) Cold Storage Bar 2017 Genuine PCGS,",6100,2026-01-19,2017,3.02,WorthPoint
nwa-lunar-meteorite,"NWA 13974 Moon/Lunar Meteorite, Feldspathic Breccia, Recent Find, 0.52 Grams",41.6,2026-01-19,0.52,80,WorthPoint
nwa-lunar-meteorite,"9.61 Grams~NWA 15373 LUNAR Meteorite End Cut \\\""Special No Reserve Auction\\\""",102.5,2026-01-19,9.61,10.67,WorthPoint
nwa-lunar-meteorite,"Meteorite**NWA 12227, Howardite Achondrite**3.712 Gram; Perfect Slice 🔥",29.99,2026-01-18,3.712,8.08,WorthPoint
nwa-lunar-meteorite,Meteorite NWA 17869 Rare LUNAR Moon Low TKW 180g - Microscope Slide Thin Section,38.85,2026-01-18,180,0.22,WorthPoint
nwa-lunar-meteorite,NWA 18212 New Lunar Meteorite 3.7 G Slice Troctolite Melt Breccia Moon 1 Of 13,110,2026-01-16,3.7,29.73,WorthPoint
nwa-lunar-meteorite,NWA 15018 Lunar Meteorite Parcel,144,2026-01-15,,,WorthPoint
nwa-lunar-meteorite,"*** Meteorite NWA 17700, Lunar (troct. Melt Breccia) - 1.2 G ***",45,2026-01-14,1.2,37.5,WorthPoint
nwa-lunar-meteorite,"Meteorite**NEA 083, Lunar Gran. Breccia**1.282 Gram Part-slice, Rare!! 🔥 🌕🌑",24.5,2026-01-11,1.282,19.11,WorthPoint
nwa-lunar-meteorite,NWA 18212 New Lunar Meteorite 43.2 G Slice Troctolite Melt Breccia Moon 1 Of 13,865,2026-01-11,43.2,20.02,WorthPoint
nwa-lunar-meteorite,Meteorite NWA 18153 Rare Low TKW 67.6g LUNAR Moon Microscope Slide Thin Section,47,2026-01-11,67.6,0.7,WorthPoint
nwa-lunar-meteorite,"*** Meteorite NWA 17700, Lunar (troct. Melt Breccia) - 1.1 G ***",40,2026-01-11,1.1,36.36,WorthPoint
nwa-lunar-meteorite,NWA 17497 Lunar Feldspathic Breccia 4.3 Gram Meteorite Partial Slice Of The Moon,99,2026-01-10,4.3,23.02,WorthPoint
nwa-lunar-meteorite,"*** Meteorite NWA 17700, Lunar (troct. Melt Breccia) - 0.4 G ***",15,2026-01-09,0.4,37.5,WorthPoint
nwa-lunar-meteorite,"*** Meteorite NWA 177100, Lunar (troct. Melt Breccia) - 0.8 G ***",30,2026-01-09,0.8,37.5,WorthPoint
nwa-lunar-meteorite,"*** Meteorite NWA 177100, Lunar (troct. Melt Breccia) - 1.6 G ***",55,2026-01-08,1.6,34.38,WorthPoint
nwa-lunar-meteorite,NWA 18212 New Lunar Meteorite 3.0 G Slice Troctolite Melt Breccia Moon 1 Of 13,90,2026-01-06,3,30,WorthPoint
