material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
nwa-martian-meteorite,"4 Mars & Moon Rock Sets, Meteorite Displays W/ Authenticity Cards",250,2026-01-21,,,WorthPoint
nwa-martian-meteorite,NWA 17472 1.42g Mars Crusted Evolved Basaltic Shergottite Meteorite,99,2026-01-17,1.42,69.72,WorthPoint
nwa-martian-meteorite,"Meteorite**NWA 16481, Martian Sherg.(olivine-bearing)**2.611 Gram, Multi-colored",167.5,2026-01-04,2.611,64.15,WorthPoint
nwa-martian-meteorite,.149 Gram Micro Fragments NWA 1068 MARTIAN Shergottite Mars Meteorite With A COA,39.99,2025-12-29,149,0.27,WorthPoint
nwa-martian-meteorite,Meteorite: NWA 14899 Weigh: 3.687 Grams: Golden Martian ❤️‍🔥,350,2025-12-29,3.687,94.93,WorthPoint
nwa-martian-meteorite,NWA 11220 Black Beauty Pairing Martian Meteorite - Water From Mars!,138.6,2025-12-28,,,WorthPoint
nwa-martian-meteorite,NWA 14714 3.32g Slice Of Martian Shergottite Meteorite,140.51,2025-12-27,3.32,42.32,WorthPoint
nwa-martian-meteorite,Meteorite - NWA 10645 - Achondrite Martian Nakhlite - 10645-0001 - Micro / Rare,19.95,2025-12-27,,,WorthPoint
nwa-martian-meteorite,Meteorite - NWA 998 - Achondrite Martian Nakhlite - 0998-0011 - Micro/Rare/Case,14.95,2025-12-27,,,WorthPoint
nwa-martian-meteorite,Meteorite - NWA 817 - Achondrite Martian Nakhlite - 0817-0009 - Micro/Rare/Case,14.95,2025-12-27,,,WorthPoint
nwa-martian-meteorite,.272 Grams 9x6x2mm - NWA 14607 Martian Shergottite Meteorite From Mars With COA,37.99,2025-12-25,272,0.14,WorthPoint
nwa-martian-meteorite,"NWA 17472, Basaltic Martian Shergottite, Martian Meteorite, Mars Rock, 2.66g",199.5,2025-12-24,2.66,75,WorthPoint
nwa-martian-meteorite,1.06 Grams 21x12x2mm NWA 13187 Martian Shergottite Meteorite Slice Of Mars +COA,59.99,2025-12-22,1.06,56.59,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 0.75g LAST ONE Olivine-Phyric Shergottite Meteorite,61,2025-12-20,0.75,81.33,WorthPoint
nwa-martian-meteorite,NWA 17472 0.76g Mars Crusted Evolved Basaltic Shergottite Meteorite,54,2025-12-20,0.76,71.05,WorthPoint
nwa-martian-meteorite,Mini Museum 5th Edition 1 Large 34 Rare Specimens Hans Fex + LED Stand $499 New,170.27,2025-12-19,,,WorthPoint
nwa-martian-meteorite,0.27 Gram - Northwest Africa 12241 - Martian Shergottite Meteorite Frag/slice,39.2,2025-12-18,0.27,145.19,WorthPoint
nwa-martian-meteorite,.088 Gram 12x3x1mm Slice NWA 7397 MARTIAN SHERGOTTITE Mars Meteorite With A COA,29.99,2025-12-16,88,0.34,WorthPoint
nwa-martian-meteorite,"Meteorite**NWA 14607, Martian**0.985 Grams, Part-slice; Evolved Pyroxene-phyric",76,2025-12-15,0.985,77.16,WorthPoint
nwa-martian-meteorite,MS68 PCGS 2009 Cook Islands 5 Dollars Observation Of Mars .925 (BT4),295,2025-12-14,,,WorthPoint
nwa-martian-meteorite,Mars Rare Martian Nakhlite Meteorite NWA 15364 Algeria Found 2022 MB111 COA 7211,69.95,2025-12-14,,,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 0.59g Olivine-Phyric Shergottite Meteorite,51.56,2025-12-13,0.59,87.39,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 0.37g Olivine-Phyric Shergottite Meteorite,27,2025-12-13,0.37,72.97,WorthPoint
nwa-martian-meteorite,NWA 17472 0.15g Mars Crusted Evolved Basaltic Shergottite Meteorite,15,2025-12-13,0.15,100,WorthPoint
nwa-martian-meteorite,.928 Grams 16x9x2.5mm NWA 13187 Martian Shergottite Meteorite Slice Of Mars +COA,47.99,2025-12-13,928,0.05,WorthPoint
nwa-martian-meteorite,"2 Genuine Mars Rocks, XL Mars Meteorites Interactive Display, Authenticity Card",35.95,2025-12-10,2,17.98,WorthPoint
nwa-martian-meteorite,NWA 17472 0.77g + NWA 17880 0.75g Martian Slices,110,2025-12-10,0.77,142.86,WorthPoint
nwa-martian-meteorite,1.23 Grams 21x11x2.5mm NWA 13187 Martian Shergottite Meteorite Slice Of Mars COA,64.99,2025-12-07,1.23,52.84,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 2.83g Olivine-Phyric Shergottite Meteorite,212,2025-12-06,2.83,74.91,WorthPoint
nwa-martian-meteorite,"Genuine Mars Rock, XL Martian Meteorite Interactive Display W/ Authenticity Card",39.95,2025-12-05,,,WorthPoint
nwa-martian-meteorite,NWA 17472 0.39g Mars Crusted Evolved Basaltic Shergottite Meteorite,36,2025-12-03,0.39,92.31,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 0.24g Olivine-Phyric Shergottite Meteorite,25,2025-12-03,0.24,104.17,WorthPoint
nwa-martian-meteorite,Mars Rock NWA 17472 Meteorite – Rare Martian Shergottite Slice Medium Box W/COA,65,2025-12-03,,,WorthPoint
nwa-martian-meteorite,.736 Grams NWA 13227 Martian 13x8x3mm METEORITE Shergottite Mars - With COA,67.99,2025-12-03,736,0.09,WorthPoint
nwa-martian-meteorite,.031 Grams NWA 6963 Martian Shergottite Meteorite Micro Fragments From Mars +COA,16.99,2025-12-03,31,0.55,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 0.79g Olivine-Phyric Shergottite Meteorite,77,2025-11-29,0.79,97.47,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 0.88g Olivine-Phyric Shergottite Meteorite,86,2025-11-29,0.88,97.73,WorthPoint
nwa-martian-meteorite,NWA 17880 Mars 0.32g Olivine-Phyric Shergottite Meteorite,43,2025-11-29,0.32,134.38,WorthPoint
nwa-martian-meteorite,MARTIAN Nakhlite Meteorite Mars RARE .18g-Ident. By Dr. Tony Irving Wash St Univ,90,2025-11-29,18,5,WorthPoint
nwa-martian-meteorite,2.66 Grams 24x18x2mm NWA 13187 Martian Shergottite Meteorite Fragment- Mars +COA,169.99,2025-11-27,2.66,63.91,WorthPoint
nwa-martian-meteorite,NWA 17472 1.77g Mars Crusted Evolved Basaltic Shergottite Meteorite,113.49,2025-11-22,1.77,64.12,WorthPoint
nwa-martian-meteorite,NWA 12269 Achondrite Martian Shergottite Meteorite - 12269-0128 - 0.54g - Slice,134.95,2025-11-19,0.54,249.91,WorthPoint
nwa-martian-meteorite,NWA 17472 Martian Meteorite (shergottite) Part Slice Weight 1.01 Grams NEW,100,2025-11-19,1.01,99.01,WorthPoint
nwa-martian-meteorite,.701 Grams NWA 13227 Martian 13x8x3mm METEORITE Shergottite Mars - With COA,118.99,2025-11-19,701,0.17,WorthPoint
nwa-martian-meteorite,Meteorite: NWA 16481 Weight 0.718 Grams. Beautiful Martian,100,2025-11-08,0.718,139.28,WorthPoint
nwa-martian-meteorite,"NWA 13190, Martian Shergottite Found In Algeria 2019, 0.94 Gram Slice Of Mars!",130,2025-11-05,0.94,138.3,WorthPoint
nwa-martian-meteorite,4.57 Gram - Northwest Africa 12241 - Martian Shergottite Meteorite Slice!,575,2025-11-02,4.57,125.82,WorthPoint
nwa-martian-meteorite,NWA 14714 Martian Meteorite Slice,400,2025-10-30,,,WorthPoint
nwa-martian-meteorite,.379 Grams 8x7x2mm - NWA 14607 Martian Shergottite Meteorite From Mars With COA,79.99,2025-10-30,379,0.21,WorthPoint
nwa-martian-meteorite,Mars Rock Mars Meteorite Martian Nakhite Northwest Africa NWA 15200 Morocco,39.99,2025-10-29,,,WorthPoint
nwa-martian-meteorite,.230 Grams 7x5x3mm - NWA 14607 Martian Shergottite Meteorite From Mars With COA,39.99,2025-10-26,230,0.17,WorthPoint
nwa-martian-meteorite,NWA 15364 Achondrite Martian Nakhlite Meteorite - 15364-0009 - NEWLY OFFICIAL,999.95,2025-10-25,,,WorthPoint
nwa-martian-meteorite,.114 Grams 5x4x4mm NWA 4878 Martian Shergottite Meteorite Fragment From Mars,34.99,2025-10-21,114,0.31,WorthPoint
nwa-martian-meteorite,.885 Grams 14x13x3mm NWA 13187 Martian Shergottite Meteorite Slice Mars With COA,74.99,2025-10-19,885,0.08,WorthPoint
nwa-martian-meteorite,.0616 Grams 5x4x3mm NWA 4878 Martian Shergottite Meteorite Fragment From Mars,29,2025-10-12,616,0.05,WorthPoint
nwa-martian-meteorite,"Mars Rock Pendant, Martian Meteorite Necklace Jewelry With Authenticity Card",34.95,2025-10-07,,,WorthPoint
