material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
osmium,Crystalline Osmium 1/4 Oz Sealed In Acrylic Housing - Made In Austria,820,2026-01-23,113.4,7.23,WorthPoint
osmium,Vintage Phonograph Tins And Needles - Lot,62,2026-01-23,,,WorthPoint
osmium,Refining Precious Metals Waste-Cast Iron Mold+Chapman Flux-Thinner-Borax,119.95,2026-01-22,,,WorthPoint
osmium,100g Mirror Metal Osmium Beads Os 99.95%,3000,2026-01-21,100,30,WorthPoint
osmium,Grainmint- 1/10 Grain *Rhodium Iridium Osmium Ruthenium Palladium Gold Platinum*,26,2026-01-17,10,2.6,WorthPoint
osmium,Osmium Set Of The First Five Fractional Bars Ever Released!,2025,2026-01-02,,,WorthPoint
osmium,"OSMIUM Var. IRIDOSMINE * VERY RARE !!! Uchaly, RUSSIA",24.99,2025-12-31,,,WorthPoint
osmium,Pure 99.9% Iridium Metal .17 Grams Super Rare Platinum Group BEST PRICE ON EBAY,50,2025-12-29,17,2.94,WorthPoint
osmium,1.17 Gram 99.95% Solid Osmium Metal Pellet Element 76 Sample,114.71,2025-12-27,1.17,98.04,WorthPoint
osmium,PARLIAMENT Osmium +7 *Sealed* CD Japan Import W/ OBI And Bonus Tracks Limited Ed,34.59,2025-12-23,,,WorthPoint
osmium,"Osmium 1 Gram Engraved Pellet, 99.95%, Electric-arc Molten, Produced By SMT",59,2025-12-20,1,59,WorthPoint
osmium,Pure 99.9% Iridium Metal .23 Grams Super Rare Platinum Group BEST PRICE ON EBAY,62,2025-12-19,23,2.7,WorthPoint
osmium,Pure 99.9% Iridium Metal 1.55 Grams Super Rare Platinum Group BEST PRICE ON EBAY,295,2025-12-17,1.55,190.32,WorthPoint
osmium,Osmium Diamond .035g - Rare Earth Gem,90,2025-12-15,35,2.57,WorthPoint
osmium,Victorian 1863-1888. Osmium Silver Antique Spoon. Edward Vll Silver Wedding.,20.08,2025-12-15,,,WorthPoint
osmium,Pure 99.9% Iridium Metal 1.28 Grams Super Rare Platinum Group BEST PRICE ON EBAY,250,2025-12-12,1.28,195.31,WorthPoint
osmium,"Osmium 10 Gram Etched And Engraved Pellet. 99.95%, SMT, Made In Austria, 2025.",425,2025-12-10,10,42.5,WorthPoint
osmium,"Osmium 1oz Bar, 2025 Year Of The Snake, Made By SMT/Meta Metals Of Austria!",1799,2025-12-09,28.35,63.46,WorthPoint
osmium,4 Piece Pfanstiehl 4000 Play Osmium Needle Record Player Accessory Lot,55,2025-12-09,,,WorthPoint
osmium,Rhenium Metal .9995 1 Oz Ounce Bar Bullion Or Element Collection USA SHIPPING,280,2025-12-08,28.35,9.88,WorthPoint
osmium,Pure 99.9% Iridium Metal 1.42 Grams Super Rare Platinum Group BEST PRICE ON EBAY,275,2025-12-07,1.42,193.66,WorthPoint
osmium,Phonograph Osmium Needle Stylus Astatic A-84 G-78 (M) Cartridge 78 Rpm,6,2025-12-07,84,0.07,WorthPoint
osmium,"2025 Hexagonal 0.25 Troy Oz Bar Of Osmium, Mintage Of 25!",625,2025-12-05,,,WorthPoint
