material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
philippinite,"""r365-10) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-12-20,,,WorthPoint
philippinite,"""(r365-56) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-11-29,,,WorthPoint
philippinite,Philippine Tektites 1 Kilo Wholesale Pack Philippinite Meteorite Impact Bikolite,190,2025-11-27,,,WorthPoint
philippinite,"Philippinite Tektite 43.14g Subtly Grooved Biscuit, Made By Meteorite Impactite",33,2025-11-26,43.14,0.76,WorthPoint
philippinite,Philippine Tektites Half A Kilo Wholesale Pack Philippinite Meteorite Impact,150,2025-11-09,,,WorthPoint
philippinite,"""(r365-55) 1-3/4"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",16.49,2025-10-26,,,WorthPoint
philippinite,"Bicolite Tektite – 18.1 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",16,2025-10-17,18.1,0.88,WorthPoint
philippinite,"Bicolite Tektite – 32.5 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",19.5,2025-10-16,32.5,0.6,WorthPoint
philippinite,"""(R399-17-1) 4"""" Fossil Fulgurite Petrified Lightning Strike Beach Sand Glass GA""",26.99,2025-09-30,,,WorthPoint
philippinite,"Bicolite Tektite – 28.8 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",18,2025-09-17,28.8,0.63,WorthPoint
philippinite,"Bicolite Tektite – 20.1 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",12.5,2025-09-14,20.1,0.62,WorthPoint
philippinite,"Bicolite Tektite – 27.8 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",14.85,2025-09-07,27.8,0.53,WorthPoint
philippinite,Rare Tektite 80 Gm Disc Shaped Rizalite(philippinite) Tektite . Cool Formation,22.95,2025-09-02,80,0.29,WorthPoint
philippinite,"""r365-13) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
philippinite,"""r365-11) 1-1/2"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",15.99,2025-08-31,,,WorthPoint
philippinite,"Bicolite Tektite – 38.3 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",20,2025-08-24,38.3,0.52,WorthPoint
philippinite,"Bicolite Tektite – 96 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",55,2025-08-24,96,0.57,WorthPoint
philippinite,"Bicolite Tektite – 59.2 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",35,2025-08-24,59.2,0.59,WorthPoint
philippinite,"Bicolite Tektite – 36.5 Grams Philippinite, Meteorite Impact, Bikolite, Rizalite",25,2025-08-12,36.5,0.68,WorthPoint
philippinite,"""(r364-118) 1-1/8"""" Fulgurite Lightning Strike Beach Sand Glass Georgia Fulgurites""",14.99,2025-08-03,,,WorthPoint
