material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
seymchan,Seymchan Olivine Iron Meteorite Pallasite Specimen LZ081,35,2026-01-23,,,WorthPoint
seymchan,SEYMCHAN IRON METEORITE Specimen PALLASITE Etched Triangle Carving RUSSIA,64.99,2026-01-20,,,WorthPoint
seymchan,7.61 Grams 26x15x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,15.99,2026-01-19,7.61,2.1,WorthPoint
seymchan,19 Grams 60x27x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,39.99,2026-01-18,19,2.1,WorthPoint
seymchan,8 Grams 45x17x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,17.99,2026-01-18,8,2.25,WorthPoint
seymchan,15.4 Grams 62x20x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,32.99,2026-01-18,15.4,2.14,WorthPoint
seymchan,Seymchan Olivine Iron Meteorite Pallasite Specimen LZ160,41,2026-01-17,,,WorthPoint
seymchan,10.6 Grams 60x13x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,22.99,2026-01-16,10.6,2.17,WorthPoint
seymchan,7.26 Grams 21x19x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,15.99,2026-01-15,7.26,2.2,WorthPoint
seymchan,4.74 Grams 16x16x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,11.49,2026-01-12,4.74,2.42,WorthPoint
seymchan,Seymchan Pal 8.70g Part Slice Of Etched Iron Meteorite Pendant,33,2026-01-12,8.7,3.79,WorthPoint
seymchan,7.02 Grams 26x15x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,16.99,2026-01-11,7.02,2.42,WorthPoint
seymchan,5.39 Grams 20x18x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,12.49,2026-01-09,5.39,2.32,WorthPoint
seymchan,Seymchan Iron Meteorite Etched Slice Weight 112.5 Grams 4 Inches,253,2026-01-08,112.5,2.25,WorthPoint
seymchan,10 Grams 30x24x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,19.99,2026-01-08,10,2,WorthPoint
seymchan,8.48 Grams 29x19x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,17.99,2026-01-08,8.48,2.12,WorthPoint
seymchan,7.68 Grams 29x18x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,17.99,2026-01-07,7.68,2.34,WorthPoint
seymchan,7.29 Grams 25x15x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,14.99,2026-01-07,7.29,2.06,WorthPoint
seymchan,36PCS Seymchan Iron Meteorite Pendant ALL IN Photo LZ050,26.55,2026-01-07,,,WorthPoint
seymchan,7.60 Grams 26x15x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,15.99,2026-01-04,7.6,2.1,WorthPoint
seymchan,Seymchan Iron Meteorite Etched Slice Weight 99 Grams 4 Inches,223,2026-01-03,99,2.25,WorthPoint
seymchan,12.5 Grams 30x29x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,24.99,2026-01-02,12.5,2,WorthPoint
seymchan,9.99 Grams 37x24x3mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,20.5,2026-01-02,9.99,2.05,WorthPoint
seymchan,4.09 Grams 16x16x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,10.5,2026-01-02,4.09,2.57,WorthPoint
seymchan,"5 Dollars 2012 Seymchan Meteorite, Cook Islands In Case",140.94,2026-01-01,,,WorthPoint
seymchan,Mundrabilla Iron Meteorite Mineral Sculptural Specimen AUSTRALIA Natural Patina,79.99,2025-12-28,,,WorthPoint
seymchan,SEYMCHAN IRON METEORITE Specimen PALLASITE Etched Freeform Carving RUSSIA,47.99,2025-12-27,,,WorthPoint
seymchan,5.4 Gram SEYMCHAN PALLASITE METEORITE Part Slice - Beautiful Crystals,37,2025-12-27,5.4,6.85,WorthPoint
seymchan,Seymchan Iron Meteorite Etched Slice Weight 137.8 Grams 4 Inches,310,2025-12-24,137.8,2.25,WorthPoint
seymchan,Seymchan Iron Meteorite Etched Slice Weight 139.1 Grams 4 Inches,313,2025-12-24,139.1,2.25,WorthPoint
seymchan,Canyon Diablo Stardust Shavings / Crystals - 100% Pure & Natural,7,2025-12-21,,,WorthPoint
seymchan,Glorieta Meteorite Stardust Shavings / Crystals - 100% Pure & Natural,7,2025-12-21,,,WorthPoint
seymchan,Meteorite Seymchan - Iron-Ungrouped/Pallasite - Metal Matrix Slice,11.26,2025-12-21,,,WorthPoint
seymchan,5.35 Grams Of Cut Seymchan Russian Meteorites Found In 1967 Comes With COA,14.99,2025-12-20,5.35,2.8,WorthPoint
seymchan,Seymchan Olivine Iron Meteorite Pallasite Specimen LZ024,71,2025-12-20,,,WorthPoint
seymchan,4.27 Grams 24x13x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,9.99,2025-12-19,4.27,2.34,WorthPoint
seymchan,SEYMCHAN METEORITE Slice 16.5 Grams,45,2025-12-18,16.5,2.73,WorthPoint
seymchan,"Seymchan Meteorite - Seymchan River, Magadan Oblast, Russia",87.5,2025-12-18,,,WorthPoint
seymchan,3.29 Grams Of Cut Seymchan Russian Meteorites Found In 1967 Comes With COA,7.5,2025-12-18,3.29,2.28,WorthPoint
seymchan,"Estate Seymchan Meteorite Slice Pallasite (PMG) 13.5 Grams Russia 40'N, 150°0'E",51,2025-12-17,13.5,3.78,WorthPoint
seymchan,2.13 Grams Of Cut Seymchan Russian Meteorites Found In 1967 Comes With COA,6.99,2025-12-16,2.13,3.28,WorthPoint
seymchan,Seymchan Iron Meteorite Etched Slice Weight 43.7 Grams 2 Inches,99,2025-12-15,43.7,2.27,WorthPoint
seymchan,BUTW Russia Seymchan Meteorite Pendant Lapidary Necklace Jewelry 26 Ct 9103E,49.99,2025-12-14,5.2,9.61,WorthPoint
seymchan,5.53g SEYMCHAN Meteorite Slice I Beautiful Widmanstatten Pattern TOP METEORITE,30,2025-12-13,5.53,5.42,WorthPoint
seymchan,3.06 Grams Of Cut Seymchan Russian Meteorites Found In 1967 Comes With COA,10.99,2025-12-13,3.06,3.59,WorthPoint
seymchan,"Meteorite For Sale, Seymchan Iron Meteorite,Certified Meteorite",140,2025-12-13,,,WorthPoint
seymchan,7.91 Grams Of Cut Seymchan Russian Meteorites Found In 1967 Comes With COA,19.99,2025-12-11,7.91,2.53,WorthPoint
seymchan,3.20 Grams Of Cut Seymchan Russian Meteorites Found In 1967 Comes With COA,7.99,2025-12-11,3.2,2.5,WorthPoint
seymchan,"Meteorite For Sale, Seymchan Iron Meteorite With Stunning Widmanstätten Pattern",680,2025-12-09,,,WorthPoint
seymchan,Polished Seymchan Meteorite Cube,687.5,2025-12-04,,,WorthPoint
seymchan,"Seymchan Meteorite Slice - 1,874.7 Grams",3250,2025-12-02,874.7,3.72,WorthPoint
seymchan,53.10 Gram SEYMCHAN IRON METEORITE Slice - Stabile And Incredibly Beautiful,118.8,2025-12-02,53.1,2.24,WorthPoint
seymchan,33.50 Gram SEYMCHAN PALLASITE METEORITE - Stabile And Incredibly Beautiful,241.2,2025-12-02,33.5,7.2,WorthPoint
seymchan,35.78 Gram SEYMCHAN PALLASITE METEORITE Slice - Stabile And Incredibly Beautiful,493.2,2025-12-02,35.78,13.78,WorthPoint
seymchan,119.12 Gram SEYMCHAN PALLASITE METEORITE - Stabile And Incredibly Beautiful,539.1,2025-12-02,119.12,4.53,WorthPoint
seymchan,20.96g SEYMCHAN Meteorite Slice I Beautiful Widmanstatten Pattern TOP METEORITE,73,2025-11-28,20.96,3.48,WorthPoint
seymchan,Polished Seymchan Cube,350,2025-11-27,,,WorthPoint
seymchan,Seymchan Pallasite Meteorite Etched Slice Weight 20.4 Grams 2 Inches,89.25,2025-11-24,20.4,4.38,WorthPoint
seymchan,"Meteorite Lot Of 6, Allende-Bilanga-Campo—Canyon Diablo-Djoumine-Seymchan",54.95,2025-11-24,,,WorthPoint
seymchan,39.11 Gram SEYMCHAN PALLASITE METEORITE Slice - Stabile And Incredibly Beautiful,199.75,2025-11-23,39.11,5.11,WorthPoint
seymchan,5.87 Grams 26x16x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,16.99,2025-11-23,5.87,2.89,WorthPoint
seymchan,36.57 Gram SEYMCHAN PALLASITE METEORITE Slice - Stabile And Incredibly Beautiful,465.8,2025-11-19,36.57,12.74,WorthPoint
seymchan,Meteorite Group ~ Sale Of Nine (9) Meteorites ~ Cosmic Art In Miniature !!,27,2025-11-19,,,WorthPoint
seymchan,Nantan - Iron IAB Meteorite - China - 1958 - NAN-0005 - COA - Polished Fragment,9.95,2025-11-18,,,WorthPoint
seymchan,Magnet FALLING OF CHELYABINSK METEORITE With A Piece Of Meteorite,14.99,2025-11-16,,,WorthPoint
seymchan,"Nice Tektite, Libyan Desert Glass, Egypt, Lot Of Many Pieces. 168 Grams",43,2025-11-16,168,0.26,WorthPoint
seymchan,"NEWEST!!! PICA Impact Glass, Chile, Excellent Piece, 89 Grams",10.5,2025-11-16,89,0.12,WorthPoint
seymchan,"Meteorite Sericho, Pallasite, Kenya, Lot Of Rusty Pieces 250 Gr",26,2025-11-16,250,0.1,WorthPoint
seymchan,"Nice Tektite, Libyan Desert Glass, Egypt, Lot Of 2 Small Pieces. 136 Grams",15.5,2025-11-16,136,0.11,WorthPoint
seymchan,Seymchan Pallasite Meteorite 1.48g Iron Nugget W/ Natural Patina As Found,9,2025-11-15,1.48,6.08,WorthPoint
seymchan,Not Dyed! Genuine Rare Seymchan Russian Meteorite Slice Beautiful Unique Colors!,2499,2025-11-13,,,WorthPoint
seymchan,8.93 Grams 55x16x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,23.99,2025-11-10,8.93,2.69,WorthPoint
seymchan,"NEWEST! Coin-Medal Tunguska Meteorite, Fall 1908, Russia",28.57,2025-11-09,,,WorthPoint
seymchan,"Meteorite Seymchan Pallasite FACETED OLIVINE GEM, FOUR Excellent Pieces 1.3 Mm",5.5,2025-11-09,,,WorthPoint
seymchan,"NEW!! RARE!! NWA 8743 Eucrite, Melt Breccia, 7.0 Grams Part Slice",20.5,2025-11-09,7,2.93,WorthPoint
seymchan,"NEWEST!!! PICA Impact Glass, Chile, Lot Of Many Excellent Pieces, 21.5 Grams",13.5,2025-11-09,21.5,0.63,WorthPoint
seymchan,"NEW! Tsarev Meteorite L5, Russia, Lot Of 2 Excellent Small Fragments 46.0 Grams",36,2025-11-09,46,0.78,WorthPoint
seymchan,"Nice Tektite, Libyan Desert Glass, Egypt, Very Good Piece. 208 Grams",43.56,2025-11-09,208,0.21,WorthPoint
seymchan,Seymchan - Pallasite - 60.6g - Meteorite Slice,777,2025-11-08,60.6,12.82,WorthPoint
seymchan,9.92 Grams 61x13x2mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,29.99,2025-11-07,9.92,3.02,WorthPoint
seymchan,Great Deal! Amazing Crystals! Sensational Seymchan Pallasite Meteorite 35.9 Gms,224.25,2025-11-07,35.9,6.25,WorthPoint
seymchan,Seymchan Meteorite Cube,300,2025-11-06,,,WorthPoint
seymchan,3.19 Grams 10x9x6mm Seymchan Russian Meteorite Cut Slice - June 1967 With COA,16.99,2025-11-06,3.19,5.33,WorthPoint
