material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
sikhote-alin-meteorite,"Meteorite Sikhote-Alin, Russia-91 Gram-Chicken Leg Shape",400,2026-01-22,91,4.4,WorthPoint
sikhote-alin-meteorite,Sikhote-Alin Iron Meteorite Highly Oriented Heart-Shaped Thin Slice Flow Lines,150,2026-01-22,,,WorthPoint
sikhote-alin-meteorite,Low Price Super Shape! Big Campo Del Cielo Meteorite Shattered Crystal! 130.4 Gm,81.75,2026-01-20,130.4,0.63,WorthPoint
sikhote-alin-meteorite,"Meteorite**Sikhote-Alin, Russia**3.383 Grams, Oriented Space Bullet!!! ☄️💮",38,2026-01-18,3.383,11.23,WorthPoint
sikhote-alin-meteorite,SIKHOTE ALIN Iron Meteorite Specimen WITNESSED FALL RUSSIA IMCA Seller,59.99,2026-01-16,,,WorthPoint
sikhote-alin-meteorite,Sikhote-Alin Meteorite,154,2026-01-15,,,WorthPoint
sikhote-alin-meteorite,"Russia USSR 1957 Sikhote Alin Meteorite Framed Block Of 15, Block Of 4, 8 MNH",400,2026-01-14,,,WorthPoint
sikhote-alin-meteorite,706 Gm CAMPO DEL CIELO METEORITE BEAUTIFUL AAA GRADE METEORITE 1.56 POUNDS,806.55,2026-01-13,706,1.14,WorthPoint
sikhote-alin-meteorite,278 Gm. Las Palmas Campo Del Cielo Meteorite Museum Gd. Stand .61 Lbs,569.05,2026-01-11,278,2.05,WorthPoint
sikhote-alin-meteorite,250 GM LOT OF CAMPO DEL CIELO METEORITE CRYSTALS FROM .5-30 Gm IN SIZE MIXTURE,125,2026-01-11,250,0.5,WorthPoint
sikhote-alin-meteorite,37.77 Carat Sikhote-Alin Meteorite From Russia *VIDEO*,121.9,2026-01-05,,,WorthPoint
sikhote-alin-meteorite,Beautiful 260 Gm. Etched Campo Del Cielo Meteorite End Cut .57 Lbs.,236.55,2026-01-01,260,0.91,WorthPoint
sikhote-alin-meteorite,Meteorite Sikhote-Alin Strike Iron Nickel Russian 2.2 Mm 10.4 Grams JL43,15.99,2025-12-30,10.4,1.54,WorthPoint
sikhote-alin-meteorite,Sikhote-Alin Iron Meteorite Shrapnel Fragment: 10.6g,19,2025-12-30,10.6,1.79,WorthPoint
sikhote-alin-meteorite,Huge 1018 Gm Campo Del Cielo Meteorite Museum Collectors Grade 2.3 Lbs,1165.5,2025-12-29,1018,1.14,WorthPoint
sikhote-alin-meteorite,8 Grams 23mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,29.99,2025-12-28,8,3.75,WorthPoint
sikhote-alin-meteorite,Meteorite Sikhote-Alin Strike Iron Nickel Russian 2.1 Grams K54,9.99,2025-12-28,2.1,4.76,WorthPoint
sikhote-alin-meteorite,Meteorite Sikhote-Alin Strike Iron Nickel Russian 1.9 Grams K93,9.99,2025-12-28,1.9,5.26,WorthPoint
sikhote-alin-meteorite,Sikhote Alin Russian Genuine Meteorite 2 To 3 Grams Size W/ Color Label #738,12.99,2025-12-27,3,4.33,WorthPoint
sikhote-alin-meteorite,5.44 Grams 18mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,19.99,2025-12-26,5.44,3.67,WorthPoint
sikhote-alin-meteorite,10 Grams 31mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,40,2025-12-25,10,4,WorthPoint
sikhote-alin-meteorite,16.2 Grams 33mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,54.99,2025-12-25,16.2,3.39,WorthPoint
sikhote-alin-meteorite,Lg 980 Gm Campo Del Cielo Meteorite Aaa Grade 2.1 Lbs Stand,1075.5,2025-12-23,980,1.1,WorthPoint
sikhote-alin-meteorite,The Sikhote Alin Iron Nickel Meteorite Found In Siberia Feb 12 1947 Rare Find,120,2025-12-22,,,WorthPoint
sikhote-alin-meteorite,292 Gm New Campo Del Cielo Meteorite ;a Grade!! Beautiful Small Meteorite,331.74,2025-12-22,292,1.14,WorthPoint
sikhote-alin-meteorite,"Meteorite Sikhote-Alin, Fell Siberia February 12, 1947 - Individual",14.26,2025-12-21,,,WorthPoint
sikhote-alin-meteorite,132 Gm. Las Palmas Campo Meteorite ; Museum Gd. Burn Hole,949.99,2025-12-21,132,7.2,WorthPoint
sikhote-alin-meteorite,"ORIENTED SIKHOTE ALIN Iron Meteorite Specimen WITNESSED FALL RUSSIA, 128 Grams!",325,2025-12-19,128,2.54,WorthPoint
sikhote-alin-meteorite,83.41 Gram - Sikhote Alin Sharpnel Meteorite Individual - 1947 Fall In Russia,200,2025-12-19,83.41,2.4,WorthPoint
sikhote-alin-meteorite,SIKHOTE-ALIN IRON METEORITE PENDANT $59 Sterling Silver Jewelry STARBORN SA59-P5,59,2025-12-19,,,WorthPoint
sikhote-alin-meteorite,SIKHOTE-ALIN METEORITE PENDANT $59 Sterling Silver Jewelry STARBORN SA59-P11,59,2025-12-19,,,WorthPoint
sikhote-alin-meteorite,"Awesome Sikhote Alin Shrapnel Meteorite, 25.39 Grams--Top Quality",69.99,2025-12-17,25.39,2.76,WorthPoint
sikhote-alin-meteorite,250 GM LOT OF CAMPO DEL CIELO METEORITE CRYSTALS FROM 10-15 Gm IN SIZE,128.25,2025-12-16,250,0.51,WorthPoint
sikhote-alin-meteorite,250 GRS LOT OF CAMPO DEL CIELO METEORITE CRYSTALS FROM 5-10 Gm IN SIZE,128.25,2025-12-16,250,0.51,WorthPoint
sikhote-alin-meteorite,"Meteorite**Sikhote-Alin, Russia**2.986 Grams, Insane Shrapnel Individual ! ✨️✨️",10.5,2025-12-15,2.986,3.52,WorthPoint
sikhote-alin-meteorite,Sikhote-Alin Iron Meteorite — Authentic Fragment From The Famous 1947 Fall 5.9g,25,2025-12-14,5.9,4.24,WorthPoint
sikhote-alin-meteorite,45 Gm BABY CAMPO DEL CIELO METEORITE BEAUTIFUL AA GRADE METEORITE JAL,56.05,2025-12-14,45,1.25,WorthPoint
sikhote-alin-meteorite,2.69 Grams 21mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,8.99,2025-12-14,2.69,3.34,WorthPoint
sikhote-alin-meteorite,"544 Gm. Campo Del Cielo Individual Meteorite Aaa Gd, 1.2 Lbs. Std Beautiful Jal",616.55,2025-12-13,544,1.13,WorthPoint
sikhote-alin-meteorite,"Sikhote-Alin Iron IIAB Fell Feb. 12, 1947 Russia 0.83 G Whole Stone Has A Hole",30,2025-12-13,0.83,36.14,WorthPoint
sikhote-alin-meteorite,Lg 181 Gm Campo Del Cielo Meteorite Aaa Grade .4 Lbs Stand,179.1,2025-12-12,181,0.99,WorthPoint
sikhote-alin-meteorite,Highest Quality Lot! Best Ever! New Campo Meteorite Shattered Crystals 500 Gms,250,2025-12-12,500,0.5,WorthPoint
sikhote-alin-meteorite,"Awesome Meteorite -Sikhote-Alin, Russia 14.97 Grams, Insane Shape!",45.99,2025-12-11,14.97,3.07,WorthPoint
sikhote-alin-meteorite,TEKTITE METEORITE LARGE PIECE IMPACT METEOR STONE SPACE ROCK ASTEROID SHARD 20g,14.95,2025-12-10,20,0.75,WorthPoint
sikhote-alin-meteorite,Lg 408 Gm Campo Del Cielo Meteorite Aa Grade .9 Lbs Stand,422.1,2025-12-10,408,1.03,WorthPoint
sikhote-alin-meteorite,Best! Oriented! Dome Top & Flat Bottom! Sculpted Sikhote-alin Meteorite 9.3 Gms,59.25,2025-12-09,9.3,6.37,WorthPoint
sikhote-alin-meteorite,Meteorite Sikhote-Alin Strike Iron Nickel Russian 2.5 Mm 5.3 Grams JL04,11.99,2025-12-08,5.3,2.26,WorthPoint
sikhote-alin-meteorite,Meteorite Sikhote-Alin Strike Iron Nickel Russian 2.5 Mm 4.8 Grams JW86,11.99,2025-12-08,4.8,2.5,WorthPoint
sikhote-alin-meteorite,14.2 Grams 23mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,49.99,2025-12-08,14.2,3.52,WorthPoint
sikhote-alin-meteorite,810 GM. CAMPO DEL CIELO METEORITE ; B GRADE; BEAUTIFUL ;1.78 + Pounds; CHEAP!!,474.95,2025-12-07,810,0.59,WorthPoint
sikhote-alin-meteorite,696 Gm Campo Del Cielo Meteorite Aa Grade 1.5 Lbs Low Low Price Beautiful Lg,629.1,2025-12-07,696,0.9,WorthPoint
sikhote-alin-meteorite,12.2 Grams 24mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,41.99,2025-12-07,12.2,3.44,WorthPoint
sikhote-alin-meteorite,8.47 Grams 20mm SIKHOTE ALIN Russian Meteorite With A COA And Info Card,31.99,2025-12-06,8.47,3.78,WorthPoint
sikhote-alin-meteorite,TEKTITE METEORITE PIECE METEOR STONE SPACE ROCK ASTEROID INDOCHINITE SHARD 5g,7.95,2025-12-06,5,1.59,WorthPoint
sikhote-alin-meteorite,"Meteorite Sikhote-Alin Pendant 38.27 Grams, Russian Meteorite, Meteorite Pendant",180,2025-12-05,38.27,4.7,WorthPoint
sikhote-alin-meteorite,53 Gram SIKHOTE ALIN Meteorite With COA Card,99.99,2025-12-04,53,1.89,WorthPoint
sikhote-alin-meteorite,638 Gm. Campo Del Cielo Meteorite Aa Grade 1.4 Lbs Stand Cleaned,474.96,2025-12-03,638,0.74,WorthPoint
sikhote-alin-meteorite,Sikhote-Alin Meteorite - 315.2 Grams,2000,2025-12-02,315.2,6.35,WorthPoint
