material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
trinitite,LIBYAN DESERT GLASS Tektite Faceted Gemstone Meteorite HIGH GRADE IMCA MEMBER,19.99,2025-12-23,,,WorthPoint
trinitite,Mini Museum 1st Edition 1 Large 33 Rare Specimens Hans Fex + LED Stand $1399 New,1025,2025-12-19,,,WorthPoint
trinitite,"Trinitite, The Atomic Age Mineral, 3rd Edition, William Kolb, Atomic Bomb!",58.5,2025-08-28,,,WorthPoint
trinitite,Genuine Libyan Desert Glass Prehistoric Tool Artifact!,50,2025-08-19,,,WorthPoint
trinitite,Vintage Uranium Ore Assay Kit-El Tronics & Detectron Radioactive Ore Collection,107.5,2025-07-30,,,WorthPoint
trinitite,Libyan Desert Glass Tektite Meteorite Impact Glass Formations Lot 17.31 Grams,57.75,2025-06-26,17.31,3.34,WorthPoint
trinitite,Trinitite Atomic Bomb Artifact 1945 New Mexico Trinity Site ***RARE SPECIMEN***,54.95,2025-06-15,,,WorthPoint
trinitite,Mini Museum 1st Edition #1116 - Large 33 Rare Specimens Hans Fex Kickstarter.,1500,2025-06-12,,,WorthPoint
trinitite,Four Pieces Of Trinitite,60.5,2025-06-04,,,WorthPoint
trinitite,One Piece Of Red Trinitite,121,2025-06-04,,,WorthPoint
trinitite,LIBYAN DESERT GLASS Tektite Meteorite HIGH-GRADE Gem Quality US Seller IMCA#,59.99,2025-05-20,,,WorthPoint
trinitite,Mini Museum 1st Edition 1 - Large 33 Rare Specimens Hans Fex Kickstarter,999.99,2025-05-14,,,WorthPoint
trinitite,Fragment Of First Atomic Bomb In Collector's Box,59,2025-05-11,,,WorthPoint
trinitite,Tool That Built The Atomic Bomb! Used By Oppenheimer's Foreman Manhattan Project,2500,2025-05-10,,,WorthPoint
trinitite,Mini Museum 1st Limited Edition - Small - 11 Rare Specimens Hans Fex Kickstarter,200,2025-05-06,,,WorthPoint
trinitite,Mini Museum 1st Edition - Large 33 Rare Specimens Hans Fex Kickstarter,1799,2025-04-09,,,WorthPoint
trinitite,Trinitite From First Atomic Bomb Blast,1000,2025-02-27,,,WorthPoint
