material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
uranium-glass,Antique Green Uranium Glass Pedestal Oil Lamp 19.5”,249.5,2026-01-23,,,WorthPoint
uranium-glass,Green Uranium Glass Hand Painted Finger Oil Lamp Original Brass Burner (+ Wick),70.07,2026-01-23,,,WorthPoint
uranium-glass,"HUGE Rare FENTON Vaseline Uranium Glass Hen On Nest, VINTAGE HEN ON NEST",500,2026-01-23,,,WorthPoint
uranium-glass,Vtg Fenton Water Lily Custard Satin Uranium Glass Pedestal Compote Candy Dish 7¼,64.99,2026-01-23,,,WorthPoint
uranium-glass,Jeannette Doric Candy Dish Jar And Cover Depression Uranium Glass Glows,60,2026-01-23,,,WorthPoint
uranium-glass,Rare Fenton Uranium Glass Melon Bell Handpainted Signed,97,2026-01-23,,,WorthPoint
uranium-glass,Uranium Green CLOVERLEAF Footed Iced Tea Tumbler Glasses Hazel-Atlas (Set Of 5),80,2026-01-23,,,WorthPoint
uranium-glass,Antique Uranium Glass Corn Shaker Strong Glow,138.49,2026-01-23,,,WorthPoint
uranium-glass,"Hazel Atlas Green Uranium Glass Measuring Cup, 1 Cup",40,2026-01-23,,,WorthPoint
uranium-glass,"Antique 1900s Heisey Custard Uranium Glass Souvenir Goblet Lismore MN 6\\\"" Tall",55,2026-01-23,,,WorthPoint
uranium-glass,1930's CLARKS TEABERRY GUM VASELINE/URANIUM GLASS DISPLAY PEDESTAL STAND,117.5,2026-01-23,,,WorthPoint
uranium-glass,Uranium Glass Rabbit Vaseline Frosted Glows Animal Large Paperweight Figurine,44.62,2026-01-23,,,WorthPoint
uranium-glass,"Vintage Green Uranium Glass Ashtray Gear Cog Shape Glows UV Blacklight 4.5\\\""",24.5,2026-01-23,,,WorthPoint
uranium-glass,Collection Of Vintage Green Uranium Glass Wine Glasses And Juicers,26,2026-01-23,,,WorthPoint
uranium-glass,Vintage Yellow Uranium Glass Vase,16.5,2026-01-23,,,WorthPoint
uranium-glass,Vaseline Uranium Glass Bunny Rabbit On A Nest,73.66,2026-01-23,,,WorthPoint
uranium-glass,Vintage 1920’s EAPG Perfume Depression Decanter Cruet Uranium UV Glow Glass,47,2026-01-23,,,WorthPoint
uranium-glass,Fenton Fairy Lamp Lime Green Hobnail Satin VTG Uranium Glass GLOWS UV -Read,125.5,2026-01-23,,,WorthPoint
uranium-glass,Vintage 1900s Uranium Vaseline Goofus Medium Glass Vase Raised Rose Pattern,32,2026-01-23,,,WorthPoint
uranium-glass,Vintage Uranium Glass Salt & Pepper Shakers Basket Weave Green Vaseline,89,2026-01-23,,,WorthPoint
uranium-glass,Murano Uranium Glass Bull With Original Murano Sticker,306.99,2026-01-23,,,WorthPoint
uranium-glass,Vtg DEPRESSION VASELINE URANIUM GLASS BASKET - Glows BRILLIANTLY,30,2026-01-23,,,WorthPoint
uranium-glass,Vintage Fenton Topaz Opalescent Hobnail Fan Vase Urainum Glass,47,2026-01-23,,,WorthPoint
uranium-glass,Fenton Uranium Yellow Hobnail Tumblers Glass Pair ”GLOWS” 4” Tall,62,2026-01-23,,,WorthPoint
uranium-glass,"VINTAGE Uranium Glass Candlestick Holders Pair Green Depression 2.5\\\"" UV Glow",22,2026-01-23,,,WorthPoint
uranium-glass,Pair Vintage Antique Green Jadeite Jadite Glass Salt & Pepper Range Shakers,29.99,2026-01-23,,,WorthPoint
uranium-glass,"Victorian Stevens & Williams Glass Bowl, Vaseline Rigaree & Silver Plate Stand",62.82,2026-01-23,,,WorthPoint
uranium-glass,Vintage Pair Of Boyd Glass Vaseline/Uranium Glass Swan Motif Candle Holders,122.5,2026-01-23,,,WorthPoint
uranium-glass,"Edwardian Era EAPG Heisey #310 Ring Band Custard Glass Shaker Weston Neb 3\\\"" UV+",18,2026-01-23,,,WorthPoint
uranium-glass,"Vaseline Uranium Glass Pitcher With Lid Vintage Water Pitcher 8\\\"" Depression Era",89.99,2026-01-23,,,WorthPoint
uranium-glass,"Degenhart \\\""Bird & Berry\\\"" Uranium Glass Open Salt Cellar",25.49,2026-01-23,,,WorthPoint
uranium-glass,"Duncan & Sons, German Band Cap Daisy & Button Uranium Glass Toothpick Holder",109.27,2026-01-23,,,WorthPoint
uranium-glass,Vintage Summit Uranium Glass Horse & Foal Paperweight,125,2026-01-23,,,WorthPoint
uranium-glass,"Uranium Depression Glass Etched Floral Pat. 4 3/4\\\"" Cordial Stem Glass",12.5,2026-01-23,,,WorthPoint
uranium-glass,"Vintage Uranium Glass Swung Paneled Vase, 11 1/2\\\""",67.53,2026-01-23,,,WorthPoint
uranium-glass,2 Vintage Uranium Glass Double Handled Soup Cup And Saucer Sets Green,18,2026-01-23,,,WorthPoint
uranium-glass,Vintage Imperial Uranium Glass Tooth Pick Holder Beautiful Green,24,2026-01-23,,,WorthPoint
uranium-glass,Van Briggle Ming Blue Cat Figurine - Image 1 Of 3,20,2026-01-23,,,WorthPoint
