material_slug,title,price_usd,sale_date,weight_grams,price_per_gram,source
darwin-glass,11.4 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,25.95,2025-12-16,11.4,2.28,WorthPoint
darwin-glass,Darwin Glass -- 250g BULK - Austalite - Darwinite - Tektite - Impactite #key1,262.49,2025-12-16,250.0,1.05,WorthPoint
darwin-glass,7.849 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,15.8,2025-12-15,7.849,2.01,WorthPoint
darwin-glass,3.03 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,10.39,2025-12-15,3.03,3.43,WorthPoint
darwin-glass,"""Charles Darwin Glass Christmas Ornament 5"""" 2013 Archie McPhee / Accoutrements""",11.49,2025-12-09,,,WorthPoint
darwin-glass,Mt Darwin Tasmania Darwin Glass Meteor Tektite,14.53,2025-12-08,,,WorthPoint
darwin-glass,Charles Darwin Glass Christmas Ornament Archie McPhee,15.99,2025-12-04,,,WorthPoint
darwin-glass,"Darwin Glass 5.13g Impactite - Gooey, Stringy Melt Created By Meteorite Impact",17.5,2025-11-29,5.13,3.41,WorthPoint
darwin-glass,8.545 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,16.8,2025-11-28,8.545,1.97,WorthPoint
darwin-glass,4.82 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.99,2025-11-10,4.82,1.66,WorthPoint
darwin-glass,7.47 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,12.99,2025-11-08,7.47,1.74,WorthPoint
darwin-glass,5.32 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,9.99,2025-11-08,5.32,1.88,WorthPoint
darwin-glass,Darwin Glass -- 7g - Austalite - Darwinite - Tektite - Impactite #win18.,9.95,2025-11-02,7.0,1.42,WorthPoint
darwin-glass,32.9 Grams 12 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,32.99,2025-10-25,32.9,1.0,WorthPoint
darwin-glass,Darwin Glass -- 20g - Austalite - Darwinite - Tektite - Impactite #dpp94,99.99,2025-10-12,20.0,5.0,WorthPoint
darwin-glass,4.74 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.99,2025-10-05,4.74,1.69,WorthPoint
darwin-glass,Darwin Glass 4.41g Formed From Meteorite Similar To Moldavite,11.99,2025-09-24,4.41,2.72,WorthPoint
darwin-glass,5.26 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,9.99,2025-09-21,5.26,1.9,WorthPoint
darwin-glass,Darwin Glass - 26g - Austalite - Darwinite - Tektite - Impactite #big20.,43.08,2025-09-13,26.0,1.66,WorthPoint
darwin-glass,3.72 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,11.99,2025-09-09,3.72,3.22,WorthPoint
darwin-glass,"Darwin Glass 5.11g Impactite - Gooey, Stringy Melt Created By Meteorite Impact",15.0,2025-09-08,5.11,2.94,WorthPoint
darwin-glass,4.02 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.99,2025-09-03,4.02,1.99,WorthPoint
darwin-glass,"Darwin Glass, Created ~800,000 Years Ago On The Island Of Tasmania: 2.7g",21.0,2025-09-02,2.7,7.78,WorthPoint
darwin-glass,"Darwin Glass 2.91g Impactite - Gooey, Stringy Melt Created By Meteorite Impact",10.0,2025-08-23,2.91,3.44,WorthPoint
darwin-glass,"Darwin Glass Lot, Near Mt. Darwin, Tasmania Australia Weight: 26.37 Grams",74.17,2025-08-17,26.37,2.81,WorthPoint
darwin-glass,Darwin Glass. Impactite. 14.85 Grams. Individual Piece. Austrailia.,20.0,2025-08-15,14.85,1.35,WorthPoint
darwin-glass,Darwin Glass -- 7g -- Austalite - Darwinite - Tektite - Impactite #win86,20.77,2025-08-11,7.0,2.97,WorthPoint
darwin-glass,Darwin Glass -- 3g - Austalite - Darwinite - Tektite - Impactite #win66a.,13.85,2025-08-06,3.0,4.62,WorthPoint
darwin-glass,Darwin Glass Tektite 8.16g – Rare Impactite From Tasmania | Grounding Stone,62.4,2025-08-03,8.16,7.65,WorthPoint
darwin-glass,Darwin Glass Tektite 1.52g – Rare Impactite From Tasmania | Grounding Stone,33.0,2025-07-14,1.52,21.71,WorthPoint
darwin-glass,5.04 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.99,2025-07-11,5.04,1.59,WorthPoint
darwin-glass,Darwin Glass -- 6g - Austalite - Darwinite - Tektite - Impactite #win72.,17.48,2025-07-08,6.0,2.91,WorthPoint
darwin-glass,Darwin Glass - 13g - Austalite - Darwinite - Tektite - Impactite #big49,16.06,2025-06-26,13.0,1.24,WorthPoint
darwin-glass,4.31 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.5,2025-06-09,4.31,1.74,WorthPoint
darwin-glass,3.39 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,5.49,2025-06-09,3.39,1.62,WorthPoint
darwin-glass,4.47 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,8.99,2025-06-09,4.47,2.01,WorthPoint
darwin-glass,5.39 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,8.99,2025-06-09,5.39,1.67,WorthPoint
darwin-glass,3.50 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.99,2025-06-09,3.5,2.28,WorthPoint
darwin-glass,4.61 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,5.99,2025-06-09,4.61,1.3,WorthPoint
darwin-glass,5.31 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,9.99,2025-06-09,5.31,1.88,WorthPoint
darwin-glass,3.69 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,6.99,2025-06-09,3.69,1.89,WorthPoint
darwin-glass,Darwin Glass - 17g - Austalite - Darwinite - Tektite - Impactite #big35,37.12,2025-05-30,17.0,2.18,WorthPoint
darwin-glass,30.4 Grams Broken Side Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,31.99,2025-05-29,30.4,1.05,WorthPoint
darwin-glass,278 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,229.0,2025-05-21,278.0,0.82,WorthPoint
darwin-glass,4.13 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,6.99,2025-05-10,4.13,1.69,WorthPoint
darwin-glass,Darwin Glass Tektite ~ Meteorite Impact Australia ~ 6.19 Grams ~ Large Hole,14.25,2025-04-28,6.19,2.3,WorthPoint
darwin-glass,Darwin Glass -- 5g - Austalite - Darwinite - Tektite - Impactite #win56,16.35,2025-04-22,5.0,3.27,WorthPoint
darwin-glass,34.6 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,39.99,2025-04-18,34.6,1.16,WorthPoint
darwin-glass,6.92 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2025-04-11,6.92,1.59,WorthPoint
darwin-glass,11.5 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,15.99,2025-04-11,11.5,1.39,WorthPoint
darwin-glass,39.5 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,49.99,2025-04-11,39.5,1.27,WorthPoint
darwin-glass,5.92 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,9.99,2025-04-11,5.92,1.69,WorthPoint
darwin-glass,6.926 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,16.6,2025-04-04,6.926,2.4,WorthPoint
darwin-glass,20.9 Grams 12 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,20.99,2025-04-02,20.9,1.0,WorthPoint
darwin-glass,Darwin Glass - 22g - Austalite - Darwinite - Tektite - Impactite #big24,31.14,2025-03-31,22.0,1.42,WorthPoint
darwin-glass,Darwin Glass -- 22g - Austalite - Darwinite - Tektite - Impactite #gls27a,20.7,2025-03-14,22.0,0.94,WorthPoint
darwin-glass,34.3 Grams 9 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,34.99,2025-03-13,34.3,1.02,WorthPoint
darwin-glass,5.25 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,7.99,2025-03-12,5.25,1.52,WorthPoint
darwin-glass,"Darwin Glass, Near Mt. Darwin, Tasmania Australia Weight: 3.73 Grams",16.75,2025-03-11,3.73,4.49,WorthPoint
darwin-glass,Darwin Glass -- 12g - Austalite - Darwinite - Tektite - Impactite #gls9,19.81,2025-03-04,12.0,1.65,WorthPoint
darwin-glass,3.45 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,5.49,2025-03-01,3.45,1.59,WorthPoint
darwin-glass,5.34 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,11.99,2025-02-21,5.34,2.25,WorthPoint
darwin-glass,Darwin Glass 3.73g Impactite - Created By Meteorite Impact,20.0,2025-02-01,3.73,5.36,WorthPoint
darwin-glass,27.9 Grams 12 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,29.99,2025-01-25,27.9,1.07,WorthPoint
darwin-glass,25.9 Grams 12 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,26.99,2025-01-25,25.9,1.04,WorthPoint
darwin-glass,33 Grams All 9 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,34.99,2025-01-25,33.0,1.06,WorthPoint
darwin-glass,29.6 Grams 12 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,29.99,2025-01-25,29.6,1.01,WorthPoint
darwin-glass,3.28 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,5.49,2025-01-23,3.28,1.67,WorthPoint
darwin-glass,8.34 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,12.99,2025-01-09,8.34,1.56,WorthPoint
darwin-glass,4.92 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,6.99,2025-01-03,4.92,1.42,WorthPoint
darwin-glass,6.23 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2024-12-12,6.23,1.76,WorthPoint
darwin-glass,6.56 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2024-12-11,6.56,1.68,WorthPoint
darwin-glass,6.06 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2024-12-11,6.06,1.81,WorthPoint
darwin-glass,21.2 Grams 12 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,22.99,2024-12-11,21.2,1.08,WorthPoint
darwin-glass,5.88 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2024-12-11,5.88,1.87,WorthPoint
darwin-glass,Darwin Glass -- 4g -- Austalite - Darwinite - Tektite - Impactite #win98a,9.97,2024-11-24,4.0,2.49,WorthPoint
darwin-glass,23.6 Grams 12 As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,24.99,2024-11-05,23.6,1.06,WorthPoint
darwin-glass,6.20 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,11.99,2024-10-27,6.2,1.93,WorthPoint
darwin-glass,Darwin Glass 5.77g Impactite - Created By Meteorite Impact,15.0,2024-10-26,5.77,2.6,WorthPoint
darwin-glass,10.1 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,12.99,2024-10-19,10.1,1.29,WorthPoint
darwin-glass,Darwin Glass - 18g - Austalite - Darwinite - Tektite - Impactite #big44,37.86,2024-09-11,18.0,2.1,WorthPoint
darwin-glass,"Darwin Glass ~ Meteorite Impact Glass - Australia 800,000 Years Ago - 2.49 Grams",6.25,2024-09-06,2.49,2.51,WorthPoint
darwin-glass,8.97 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,11.99,2024-09-06,8.97,1.34,WorthPoint
darwin-glass,5.82 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2024-08-31,5.82,1.89,WorthPoint
darwin-glass,7.81 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,15.99,2024-08-25,7.81,2.05,WorthPoint
darwin-glass,"Darwin Glass, Near Mt. Darwin, Tasmania Australia Weight: 5.02 Grams",16.79,2024-08-25,5.02,3.34,WorthPoint
darwin-glass,5.79 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2024-08-12,5.79,1.9,WorthPoint
darwin-glass,45.6 Grams All 9 Natural Found DARWIN GLASS From METEORITE Impact In AUSTRALIA,43.99,2024-08-10,45.6,0.96,WorthPoint
darwin-glass,5.22 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,8.99,2024-08-09,5.22,1.72,WorthPoint
darwin-glass,8.44 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,11.99,2024-07-30,8.44,1.42,WorthPoint
darwin-glass,13 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,31.99,2024-07-18,13.0,2.46,WorthPoint
darwin-glass,4.14 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,10.99,2024-06-09,4.14,2.65,WorthPoint
darwin-glass,Darwin Glass - 19g - Austalite - Darwinite - Tektite - Impactite #big27,35.49,2024-06-01,19.0,1.87,WorthPoint
darwin-glass,Darwin Glass -- 4g - Austalite - Darwinite - Tektite - Impactite #win7a,14.53,2024-05-09,4.0,3.63,WorthPoint
darwin-glass,5.409 Grams NATURAL DARWIN GLASS From METEORITE Impact AUSTRALIA,10.4,2024-04-28,5.409,1.92,WorthPoint
darwin-glass,6.45 Grams As Found Natural DARWIN GLASS From METEORITE Impact In AUSTRALIA,12.99,2024-04-27,6.45,2.01,WorthPoint
darwin-glass,"Darwin Glass, Australite, Darwinite , Impactite, Tektite, Tektites, 2.32 Grams",18.0,2024-04-11,2.32,7.76,WorthPoint
